object,source_survey_name,source_survey_id,ref,Prot,e_Prot,ageMyr,e_ageMyr,TIC_ID,GaiaDR2_ID,GaiaDR3_ID,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
109628013733250304,gaia2,109628013733250304,Kiman2021,,,24.0,2.0,371422484.0,109628013733250304,109628013733250304,2.824009,1e-04,1.5485424,37.010419050833875,2.823909
128095411034209536,gaia2,128095411034209536,Kiman2021,,,149.0,26.0,22749484.0,128095411034209536,128095411034209536,2.2063189,,1.4476948,24.232117343792048,
1321738561431758592,gaia2,1321738561431758592,Kiman2021,,,4869.0,3049.0,188575751.0,1321738561431758592,1321738561431758592,3.4494152,,1.0693011,16.928680647590628,
132363027978672000,gaia2,132363027978672000,Kiman2021,,,24.0,2.0,285466899.0,132363027978672000,132363027978672000,2.4074955,,1.3322524,24.43309203194835,
132592688469662208,gaia2,132592688469662208,Kiman2021,,,24.0,2.0,285277970.0,132592688469662208,132592688469662208,2.7417126,,1.5098958,22.260671418868252,
1328907068007155072,gaia2,1328907068007155072,Kiman2021,,,4614.0,2379.0,17616407.0,1328907068007155072,1328907068007155072,3.0981941,,1.0993978,6.495255654409464,
1436001566431649408,gaia2,1436001566431649408,Kiman2021,,,149.0,26.0,219790149.0,1436001566431649408,1436001566431649408,2.904337,0.0,1.2069446,30.945492723890446,2.904337
144534724778235392,gaia2,144534724778235392,Kiman2021,,,750.0,50.0,17451153.0,144534724778235392,144534724778235392,1.6734028,,1.1111956,23.211493092645092,
144833998098820992,gaia2,144833998098820992,Kiman2021,,,750.0,50.0,118677684.0,144833998098820992,144833998098820992,3.1361666,1e-04,0.9996131,23.126591291194593,3.1360667
145668974102570624,gaia2,145668974102570624,Kiman2021,,,750.0,50.0,17339381.0,145668974102570624,145668974102570624,2.8482285,,1.1722838,23.217396571266843,
1465169548332089472,gaia2,1465169548332089472,Kiman2021,,,1939.0,2629.0,5084396.0,1465169548332089472,1465169548332089472,2.123598,0.0009,0.91417444,2.272112907104594,2.122698
146592838746224384,gaia2,146592838746224384,Kiman2021,,,750.0,50.0,397357734.0,146592838746224384,146592838746224384,2.7130642,,1.1851923,18.516267639240418,
146989143968434688,gaia2,146989143968434688,Kiman2021,,,750.0,50.0,59840611.0,146989143968434688,146989143968434688,1.964818,,1.059193,21.616117755077575,
147232651433766528,gaia2,147232651433766528,Kiman2021,,,750.0,50.0,125915722.0,147232651433766528,147232651433766528,2.5290155,,1.0597734,20.516355823228757,
147877549363243520,gaia2,147877549363243520,Kiman2021,,,750.0,50.0,268281788.0,147877549363243520,147877549363243520,3.047492,,1.0567849,22.335773967019758,
