source_paper,star_name,normalized_name,age_gyr,age_gyr_err_plus,age_gyr_err_minus,age_note_ref,prot_days,prot_err_plus,prot_err_minus,age_err_hi_gyr,age_err_lo_gyr
Engle_2023,Pleiades,Pleiades,0.125,0.05,-0.05,,2.11,2.96,-1.5,0.05,0.05
Engle_2023,NGC 2516,NGC 2516,0.15,0.02,-0.02,,1.8,2.93,-1.3,0.02,0.02
Engle_2023,M34,M34,0.22,0.02,-0.02,,6.82,3.99,-3.99,0.02,0.02
Engle_2023,NGC 3532,NGC 3532,0.3,0.05,-0.05,,10.96,5.47,-5.47,0.05,0.05
Engle_2023,M37,M37,0.52,0.06,-0.06,,13.15,5.24,-5.24,0.06,0.06
Engle_2023,Praesepe/Hyades,Praesepe/Hyades,0.73,0.12,-0.12,,16.06,2.91,-12.2,0.12,0.12
Engle_2023,NGC 6811,NGC 6811,0.89,0.15,-0.15,,14.19,1.45,-1.45,0.15,0.15
Engle_2023,NGC 752,NGC 752,1.46,0.18,-0.18,,18.6,4.2,-4.2,0.18,0.18
Engle_2023,L266-195,L266-195,2.5,1.82,-0.93,,23.19,1.84,-1.84,1.82,0.93
Engle_2023,LP 856-54,LP 856-54,2.52,1.58,-0.61,,23.27,0.04,-0.04,1.58,0.61
Engle_2023,Ruprecht 147,Ruprecht 147,2.6,0.4,-0.4,,22.4,2.9,-2.9,0.4,0.4
Engle_2023,G59-39,G59-39,3.2,1.96,-0.93,,33.82,0.07,-0.07,1.96,0.93
Engle_2023,LP 775-52,LP 775-52,3.39,0.29,-0.2,,36.9,0.1,-0.1,0.29,0.2
Engle_2023,GJ 2131 A,GJ 2131 A,3.47,1.69,-1.69,,34.82,0.1,-0.1,1.69,1.69
Engle_2023,G111-72,G111-72,3.64,1.35,-0.68,,38.96,0.13,-0.13,1.35,0.68
Engle_2023,HIP 43232 B,HIP 43232 B,3.95,0.35,-0.35,h,41.3,4.1,-4.1,0.35,0.35
Engle_2023,M67,M67,4.0,1.0,-0.5,,31.8,3.3,-3.3,1.0,0.5
Engle_2023,LP 587-54,LP 587-54,6.34,1.49,-1.38,,59.5,1.4,-1.4,1.49,1.38
Engle_2023,GJ 366,GJ 366,9.5,1.5,-1.5,,87.1,1.2,-1.2,1.5,1.5
Engle_2023,GJ 328,GJ 328,9.5,1.5,-1.5,,80.5,0.6,-0.6,1.5,1.5
Engle_2023,GJ 821,GJ 821,9.5,1.5,-1.5,,86.2,1.1,-1.1,1.5,1.5
Engle_2023,LP 552-48,LP 552-48,9.88,1.78,-2.06,,83.2,0.8,-0.8,1.78,2.06
Engle_2023,LHS 343,LHS 343,11.5,1.0,-1.5,,89.2,1.7,-1.7,1.0,1.5
Engle_2023,LHS 173,LHS 173,11.5,1.0,-1.5,,85.3,3.4,-3.4,1.0,1.5
Engle_2023,LHS 174,LHS 174,11.5,1.0,-1.5,,90.4,1.5,-1.5,1.0,1.5
Engle_2023,Pleiades,Pleiades,0.125,0.05,-0.05,,0.92,1.06,-0.43,0.05,0.05
Engle_2023,Pleiades,Pleiades,0.125,0.05,-0.05,,0.38,0.15,-0.1,0.05,0.05
Engle_2023,NGC 2516,NGC 2516,0.15,0.02,-0.02,,0.68,0.77,-0.3,0.02,0.02
Engle_2023,NGC 2516,NGC 2516,0.15,0.02,-0.02,,0.41,0.09,-0.1,0.02,0.02
Engle_2023,M34,M34,0.22,0.02,-0.02,,3.63,3.01,-3.01,0.02,0.02
Engle_2023,M37,M37,0.52,0.06,-0.06,,10.84,4.55,-8.57,0.06,0.06
Engle_2023,Praesepe/Hyades,Praesepe/Hyades,0.73,0.12,-0.12,,12.81,1.42,-8.83,0.12,0.12
Engle_2023,Praesepe/Hyades,Praesepe/Hyades,0.73,0.12,-0.12,,23.8,3.3,-3.3,0.12,0.12
Engle_2023,NGC 752,NGC 752,1.46,0.18,-0.18,,19.83,10.93,-10.93,0.18,0.18
Engle_2023,NGC 752,NGC 752,1.46,0.18,-0.18,,13.7,5.8,-9.8,0.18,0.18
Engle_2023,NSV 11919,NSV 11919,1.97,0.98,-0.35,,21.07,0.05,-0.05,0.98,0.35
Engle_2023,Gaia DR3 75525a,Gaia DR3 75525a,1.98,1.01,-0.39,,20.6,1.1,-1.1,1.01,0.39
Engle_2023,G148-6,G148-6,2.2,1.35,-0.57,,22.7,0.05,-0.05,1.35,0.57
Engle_2023,Ruprecht 147,Ruprecht 147,2.6,0.4,-0.4,,26.6,4.2,-4.2,0.4,0.4
Engle_2023,LP 783-2,LP 783-2,3.12,1.73,-0.56,,25.45,0.06,-0.06,1.73,0.56
Engle_2023,G130-6,G130-6,3.6,1.84,-1.73,,49.5,0.1,-0.1,1.84,1.73
Engle_2023,LP 498-25,LP 498-25,3.8,0.7,-1.58,,49.0,0.2,-0.2,0.7,1.58
Engle_2023,M67,M67,4.0,1.0,-0.5,,46.0,23.5,-23.5,1.0,0.5
Engle_2023,LHS 353,LHS 353,4.42,2.13,-1.52,,61.2,2.1,-2.1,2.13,1.52
Engle_2023,LP 906-23,LP 906-23,4.86,4.41,-1.57,,78.3,8.9,-8.9,4.41,1.57
Engle_2023,40 Eri C,40 Eri C,4.89,4.81,-2.71,,81.0,0.7,-0.7,4.81,2.71
Engle_2023,G201-40,G201-40,5.16,3.77,-2.87,,77.6,0.9,-0.9,3.77,2.87
Engle_2023,Proxima Cen,Proxima Cen,5.3,0.7,-0.7,,86.4,2.5,-2.5,0.7,0.7
Engle_2023,G87-28,G87-28,5.42,1.7,-1.45,,91.1,0.7,-0.7,1.7,1.45
Engle_2023,2MASS J23095781+5506472,2MASS J23095781+5506472,5.47,0.61,,,,,,0.61,
Engle_2023,LSPM J1604+3909W,LSPM J1604+3909W,6.9,0.9,-0.9,,127.9,2.8,-2.8,0.9,0.9
Engle_2023,LHS 229,LHS 229,8.71,0.56,-0.46,,152.3,1.7,-1.7,0.56,0.46
Engle_2023,GJ 299,GJ 299,9.5,1.5,-1.5,,156.9,1.2,-1.2,1.5,1.5
Engle_2023,GJ 213,GJ 213,9.5,1.5,-1.5,,158.6,2.0,-2.0,1.5,1.5
Engle_2023,GJ 157.1,GJ 157.1,9.5,1.5,-1.5,,142.7,3.0,-3.0,1.5,1.5
Engle_2023,Barnard's Star (GJ 699),Barnard's Star,9.5,1.5,-1.5,,149.1,0.6,-0.6,1.5,1.5
Engle_2023,GJ 273,GJ 273,9.5,1.5,-1.5,,157.3,5.7,-5.7,1.5,1.5
Engle_2023,GJ 581,GJ 581,9.5,1.5,-1.5,,148.1,0.9,-0.9,1.5,1.5
Engle_2023,LHS 1802,LHS 1802,9.97,1.98,-2.39,,150.4,2.4,-2.4,1.98,2.39
Engle_2023,LHS 182,LHS 182,11.5,1.0,-1.5,,161.4,5.2,-5.2,1.0,1.5
Engle_2023,GJ 1062,GJ 1062,11.5,1.0,-1.5,,159.5,2.1,-3.4,1.0,1.5
Engle_2023,LHS 3382,LHS 3382,11.5,1.0,-1.5,,169.2,9.3,-3.7,1.0,1.5
Engle_2023,LHS 216,LHS 216,11.5,1.0,-1.5,,174.4,2.8,-2.8,1.0,1.5
Engle_2023,Kapteyn's Star (GJ 191),Kapteyn's Star,11.5,1.0,-1.5,,153.2,3.7,-3.7,1.0,1.5
Engle_2024,1RXS J041330.7+251052,1RXS J041330.7+251052,,,,,2.22,,,,
Engle_2024,EPIC 201909533,EPIC 201909533,,,,,2.29,,,,
Engle_2024,1RXS J030708.3+323528,1RXS J030708.3+323528,,,,,2.35,,,,
Engle_2024,EPIC 210651981,EPIC 210651981,,,,,2.44,,,,
Engle_2024,1RXS J231233.3+391140,1RXS J231233.3+391140,,,,,2.47,,,,
Engle_2024,GSC 03517-00212,GSC 03517-00212,,,,,2.61,,,,
Engle_2024,UCAC4 630-046962,UCAC4 630-046962,,,,,2.69,,,,
Engle_2024,CK Tri,CK Tri,,,,,2.73,,,,
Engle_2024,LP 152-39,LP 152-39,,,,,2.79,,,,
Engle_2024,Pleiades/NGC 2516,Pleiades/NGC 2516,,,,,,,,,
Engle_2024,DT Vir (GJ 494),DT Vir,,,,,2.89,,,,
Engle_2024,UCAC4 587-034710,UCAC4 587-034710,,,,,3.05,,,,
Engle_2024,UCAC4 681-049380,UCAC4 681-049380,,,,,3.22,,,,
Engle_2024,1RXS J085922.2+403351,1RXS J085922.2+403351,,,,,3.25,,,,
Engle_2024,OT Ser (GJ 9520),OT Ser,,,,,3.37,,,,
Engle_2024,HAT 169-07364,HAT 169-07364,,,,,3.42,,,,
Engle_2024,PM J23045+4014,PM J23045+4014,,,,,3.56,,,,
Engle_2024,EPIC 206349327,EPIC 206349327,,,,,3.72,,,,
Engle_2024,G 80-21,G 80-21,,,,,3.88,,,,
Engle_2024,G 173-18,G 173-18,,,,,4.12,,,,
Engle_2024,FK Aqr (GJ 867A),FK Aqr,,,,,4.23,,,,
Engle_2024,2MASS J05071824+5307115,2MASS J05071824+5307115,,,,,4.23,,,,
Engle_2024,HAT 222-10112,HAT 222-10112,,,,,4.77,,,,
Engle_2024,2MASS J04160235+3325301,2MASS J04160235+3325301,,,,,4.77,,,,
Engle_2024,BD-17 6768,BD-17 6768,,,,,4.83,,,,
Engle_2024,au Mic (GJ 803),au Mic,,,,,4.85,,,,
Engle_2024,EPIC 202059229,EPIC 202059229,,,,,5.01,,,,
Engle_2024,GSC 02083-01558,GSC 02083-01558,,,,,5.34,,,,
Engle_2024,1RXS J175750.3+471634,1RXS J175750.3+471634,,,,,5.45,,,,
Engle_2024,LP 149-56,LP 149-56,,,,,6.17,,,,
Engle_2024,NGC 6475,NGC 6475,,,,,,,,,
Engle_2024,TYC 3059-299-1,TYC 3059-299-1,,,,,6.46,,,,
Engle_2024,CD-72 1700A (GJ 1264),CD-72 1700A,,,,,6.67,,,,
Engle_2024,UCAC4 678-130516,UCAC4 678-130516,,,,,6.85,,,,
Engle_2024,TYC 2703-706-1,TYC 2703-706-1,,,,,7.8,,,,
Engle_2024,UCAC4 666-047939,UCAC4 666-047939,,,,,7.85,,,,
Engle_2024,EPIC 202059204,EPIC 202059204,,,,,7.89,,,,
Engle_2024,1RXS J051125.0+265849,1RXS J051125.0+265849,,,,,8.09,,,,
