source_paper,source_year,pdf_file,table_id,sample_group,activity_type,star_name,normalized_name,sp_type,age_gyr_raw,age_gyr,age_gyr_err_plus,age_gyr_err_minus,age_note_ref,prot_days_raw,prot_days,prot_err_plus,prot_err_minus,prot_note_ref,prot_src,age_determined_via,log_age_gyr_raw,log_age_gyr,log_age_unc_raw,log_age_unc,log_Lx_raw,log_Lx,log_Lx_unc_raw,log_Lx_unc,log_Lx_over_Lbol_raw,log_Lx_over_Lbol,log_Lx_over_Lbol_unc_raw,log_Lx_over_Lbol_unc,log_Llya_over_Lbol_raw,log_Llya_over_Lbol,log_Llya_over_Lbol_unc_raw,log_Llya_over_Lbol_unc,log_RHK_raw,log_RHK,log_RHK_unc_raw,log_RHK_unc,measurement_src
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,Pleiades,Pleiades,M0–2V,"0.125 [+0.05, −0.05]",0.125,0.05,-0.05,,"2.11 [+2.96, −1.50]a",2.11,2.96,-1.5,a,,Cluster,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,NGC 2516,NGC 2516,M0–2V,"0.15 [+0.02, −0.02]",0.15,0.02,-0.02,,"1.80 [+2.93, −1.30]a",1.8,2.93,-1.3,a,,Cluster,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,M34,M34,M0–2V,"0.22 [+0.02, −0.02]",0.22,0.02,-0.02,,"6.82 [+3.99, −3.99]a",6.82,3.99,-3.99,a,,Cluster,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,NGC 3532,NGC 3532,M0–2V,"0.30 [+0.05, −0.05]",0.3,0.05,-0.05,,"10.96 [+5.47, −5.47]b",10.96,5.47,-5.47,b,,Cluster,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,M37,M37,M0–2V,"0.52 [+0.06, −0.06]",0.52,0.06,-0.06,,"13.15 [+5.24, −5.24]a",13.15,5.24,-5.24,a,,Cluster,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,Praesepe/Hyades,Praesepe/Hyades,M0–2V,"0.73 [+0.12, −0.12]",0.73,0.12,-0.12,,"16.06 [+2.91, −12.2]c",16.06,2.91,-12.2,c,,Cluster,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,NGC 6811,NGC 6811,M0–2V,"0.89 [+0.15, −0.15]",0.89,0.15,-0.15,,"14.19 [+1.45, −1.45]d",14.19,1.45,-1.45,d,,Cluster,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,NGC 752,NGC 752,M0–2V,"1.46 [+0.18, −0.18]",1.46,0.18,-0.18,,"18.6 [+4.2, −4.2]e",18.6,4.2,-4.2,e,,Cluster,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,L266-195,L266-195,M1V,"2.50 [+1.82, −0.93]",2.5,1.82,-0.93,,"23.19 [+1.84, −1.84]",23.19,1.84,-1.84,,,WD comp (L266-196),,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,LP 856-54,LP 856-54,M1–1.5V,"2.52 [+1.58, −0.61]",2.52,1.58,-0.61,,"23.27 [+0.04, −0.04]",23.27,0.04,-0.04,,,WD comp (LP 856-53),,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,Ruprecht 147,Ruprecht 147,M0–2V,"2.6 [+0.4, −0.4]",2.6,0.4,-0.4,,"22.4 [+2.9, −2.9]f,g",22.4,2.9,-2.9,"f,g",,Cluster,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,G59-39,G59-39,M0V,"3.20 [+1.96, −0.93]",3.2,1.96,-0.93,,"33.82 [+0.07, −0.07]",33.82,0.07,-0.07,,,WD comp (EGGR 92),,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,LP 775-52,LP 775-52,M0–1V,"3.39 [+0.29, −0.20]",3.39,0.29,-0.2,,"36.90 [+0.10, −0.10]",36.9,0.1,-0.1,,,WD comp (LP 775-53),,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,GJ 2131 A,GJ 2131 A,M1V,"3.47 [+1.69, −1.69]",3.47,1.69,-1.69,,"34.82 [+0.10, −0.10]",34.82,0.1,-0.1,,,WD comp (GJ 2131 B),,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,G111-72,G111-72,M1.5–2V,"3.64 [+1.35, −0.68]",3.64,1.35,-0.68,,"38.96 [+0.13, −0.13]",38.96,0.13,-0.13,,,WD comp (G111-71),,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,HIP 43232 B,HIP 43232 B,M1.5V,"3.95 [+0.35, −0.35]h",3.95,0.35,-0.35,h,"41.3 [+4.1, −4.1]h",41.3,4.1,-4.1,h,,MS comp (HIP 43232 A),,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,M67,M67,M0–2V,"4.0 [+1.0, −0.5]",4.0,1.0,-0.5,,"31.8 [+3.3, −3.3]i",31.8,3.3,-3.3,i,,Cluster,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,LP 587-54,LP 587-54,M1.5–2V,"6.34 [+1.49, −1.38]",6.34,1.49,-1.38,,"59.5 [+1.4, −1.4]",59.5,1.4,-1.4,,,WD comp (LP 587-53),,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,GJ 366,GJ 366,M1.5V,"9.5 [+1.5, −1.5]",9.5,1.5,-1.5,,"87.1 [+1.2, −1.2]",87.1,1.2,-1.2,,,Thick disk/halo population,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,GJ 328,GJ 328,M0V,"9.5 [+1.5, −1.5]",9.5,1.5,-1.5,,"80.5 [+0.6, −0.6]",80.5,0.6,-0.6,,,Thick disk/halo population,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,GJ 821,GJ 821,M1V,"9.5 [+1.5, −1.5]",9.5,1.5,-1.5,,"86.2 [+1.1, −1.1]",86.2,1.1,-1.1,,,Thick disk/halo population,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,LP 552-48,LP 552-48,M0V,"9.88 [+1.78, −2.06]",9.88,1.78,-2.06,,"83.2 [+0.8, −0.8]",83.2,0.8,-0.8,,,WD comp (LP 552-49),,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,LHS 343,LHS 343,sdK7,"11.5 [+1.0, −1.5]",11.5,1.0,-1.5,,"89.2 [+1.7, −1.7]",89.2,1.7,-1.7,,,Halo population,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,LHS 173,LHS 173,esdK7j,"11.5 [+1.0, −1.5]",11.5,1.0,-1.5,,"85.3 [+3.4, −3.4]",85.3,3.4,-3.4,,,Halo population,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 2,early_benchmarks,,LHS 174,LHS 174,sdM0j,"11.5 [+1.0, −1.5]",11.5,1.0,-1.5,,"90.4 [+1.5, −1.5]",90.4,1.5,-1.5,,,Halo population,,,,,,,,,,,,,,,,,,,,,
Engle_2023,2023,Engle_2023_ApJL_954_L50.pdf,Table 3,midlate_benchmarks,,Pleiades,Pleiades,M2.5–∼3.5Va,"0.125 [+0.05, −0.05]",0.125,0.05,-0.05,,"0.92 [+1.06, −0.43]b",0.92,1.06,-0.43,b,,Cluster,,,,,,,,,,,,,,,,,,,,,
