source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,high_ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days
Feinstein2024,TIC 55341062,1006888463311274880,96.6333266302582,62.104063771081776,3.3001854634997363,-30.081159163502296,0.549985665973552,0.126,0.025,0.025,association,4.538094322979264,0.027318584,2.0026674,0.8627674000000001,1.1399,1.2416321,True,14.695897,none,06263198+6206152,11.448,0.022,0.0321611889876354,0.0018123850230125,11.415838811012366,4.700206402652604,False,0.6451511274060983,0.01579116034421313,0.015875002627876222,39.1980898363184,0.014030930289464541,2.0420385648810035
Feinstein2024,TIC 28832999,111019720578786560,49.45477887173658,24.347828881171093,21.14285608384159,-43.104723136131696,2.272875510523652,0.1274,0.008150000000000001,0.008150000000000001,association,7.173917494695718,0.054263644,2.5800562,2.5800562,,2.5052652,True,14.441338,none,03174912+2420529,10.767,0.021,0.0076702966752516,0.0005518273505733,10.759329703324747,5.038111591645324,False,0.5962462169721257,0.014741615764473082,0.01486108150204657,44.71897475737773,0.050825751772152906,2.618512292737175
Feinstein2024,TIC 71267949,1110233897668770944,113.53782761012197,70.31053703113102,-2.931380478914596,-26.31092993306553,2.54901335214427,0.126,0.025,0.025,association,4.095133593290553,0.06363635,2.1866846,1.9505846,0.2361,2.4617414,True,15.649381,none,07340909+7018384,12.289,0.021,0.0022430122194091,0.0001801388335473,12.28675698778059,5.348097358168198,False,0.549231045060163,0.014163399311669544,0.014319209260094112,58.60859983079758,0.04349213868789299,4.102848434529141
Feinstein2024,TIC 405415372,117989868383363072,51.84138644676021,27.363696847276795,19.62617749033967,-31.96493650256129,4.316715171790894,0.1274,0.008150000000000001,0.008150000000000001,association,5.530445284368273,0.022873582,1.7965002,1.5439002000000002,0.2526,1.1669757,False,14.249639,none,03272190+2721498,11.267,0.018,0.0170265198698991,0.0008731761118989,11.2499734801301,4.963773980015819,False,0.6071787007354812,0.014828580773511013,0.014868242374176055,42.90853838527583,0.10060270832418251,2.4271874639686906
Feinstein2024,TIC 405415610,118159193173934848,51.839377765751806,27.864242661131392,21.226976361776952,-43.200279425858376,2.5172868880730457,0.1274,0.008150000000000001,0.008150000000000001,association,7.182693558081195,0.040291157,2.5670366,2.2303366,0.3367,1.1492255,False,15.232319,none,03272142+2751520,11.573,0.024,0.0082277147549081,0.0005299357762803,11.564772285245093,5.846208975845871,False,0.4692941852215022,0.011328119699947181,0.011512189719579125,74.76175304929089,0.0336707846646317,5.468822684731223
Feinstein2024,TIC 34942528,122143479715593472,47.65902862353859,29.571567259074268,23.311084902129803,-44.28396040021544,0.632240506276581,0.1274,0.008150000000000001,0.008150000000000001,association,7.3352914809657905,0.04392228,2.9892435,2.5053435000000004,0.4839,1.1416681,False,15.692155,none,03103812+2934184,11.741,0.018,0.0050525581288694,0.0004009273467996,11.73594744187113,6.063034321833674,False,0.4336125020521622,0.010225825141307987,0.010324292982944738,80.91684339600204,0.007813459840276208,5.914843724347973
Feinstein2024,TIC 35118678,122293563052804352,49.14872445592454,29.75539958204521,21.137467843048874,-40.45831980234093,0.4379375835392512,0.1274,0.008150000000000001,0.008150000000000001,association,6.746612791814721,0.09465671,2.9817,2.5828,0.3989,0.9852221,False,16.746134,none,03163566+2945201,12.816,0.025,0.0091391653150506,0.0009335355846265,12.80686083468495,6.952289761774015,False,0.2954453462100314,0.00842985527960366,0.008593460653019858,237.7283764386466,0.0018421763110483154,49.03772042594554
Feinstein2024,TIC 35024972,122441859683763712,48.54405888589284,29.36329180042009,24.17739055305371,-46.22855362332063,0.4352062734413459,0.1274,0.008150000000000001,0.008150000000000001,association,7.581364985713787,0.035622384,2.6238356,2.2710356000000003,0.3528,0.94747555,False,15.269166,none,03141053+2921487,11.586,0.02,0.0040070324378042,0.0002349141403893,11.581992967562195,5.98072999334407,False,0.4471223531685946,0.010532066119245453,0.010692024058765626,78.58639407841744,0.005537934123902863,5.745970585392567
Feinstein2024,TIC 138113699,124725270456747392,51.28114057432227,32.659839503677254,22.57595934197765,-24.7975415627653,2.424425218752869,0.079,0.0019,0.0019,association,5.560410435623642,0.055547487,2.8807259,2.3530259,0.5277,1.0568122,False,16.051296,none,03250744+3239358,12.055,0.02,0.0256172778807469,0.0013138235821923,12.029382722119253,5.754916970809845,False,0.48419790664053014,0.011884237406065201,0.012021981464698406,72.19086110450856,0.033583547580116835,5.282526166993374
Feinstein2024,TIC 138020975,125547361557297664,50.8759478926028,33.05955577223224,19.624601978871176,-31.45834460248405,2.6701720252684176,0.1274,0.008150000000000001,0.008150000000000001,association,5.520630932264253,0.047657575,2.3861923,2.0352923,0.3509,0.9187249,False,15.434045,none,03233019+3303350,11.877,0.021,0.0210559065145348,0.0010798805557492,11.855944093485466,5.565887665774948,False,0.514893548259499,0.012576249139795048,0.012678501570563161,66.89586292523644,0.03991535363334249,4.898830646756263
Feinstein2024,TIC 137993730,125673496156604928,50.663060703563445,34.06074471846732,17.599642456856184,-27.947110957553647,6.272886492393754,0.1274,0.008150000000000001,0.008150000000000001,association,4.899834332034394,0.02657189,1.8603325,1.8603325,,0.9929005,False,14.643967,none,03223910+3403391,11.594,0.02,0.0133141651637123,0.0006828213740863,11.580685834836288,5.031592816713953,False,0.5972273953268423,0.014588473135305868,0.014756791229632471,44.429106637727145,0.1411886703809414,2.5875350903954057
Feinstein2024,TIC 77452603,130054431520892032,42.4151556864037,30.384297285727428,33.79058496575695,-42.87486679815271,1.38687612155976,0.1274,0.008150000000000001,0.008150000000000001,association,8.369636472978865,0.037479572,2.6287842,2.2989842,0.3298,1.1082249,False,15.312849,none,02493958+3023042,11.648,0.018,0.0022592623522698,0.0001191830627971,11.64574073764773,6.259273713869771,False,0.40148596018579386,0.00941561911837785,0.00951272635555006,112.2325124560115,0.012357168980809668,8.28674564883922
Feinstein2024,TIC 269911083,136887655766542848,44.60770756679327,33.50346680911714,16.965545775888636,-31.61227341750732,1.6069004208478943,0.1274,0.008150000000000001,0.008150000000000001,association,5.353585244277097,0.042869408,2.426031,2.110731,0.3153,1.0438324,False,15.654179,none,02582582+3330129,12.101,0.023,0.0087749902764797,0.0004503548555408,12.09222500972352,5.735448621061554,False,0.48743227453368587,0.011858206401473281,0.012043073159320572,71.6329326429392,0.022432425444001213,5.242096568328927
Feinstein2024,TIC 467605403,137637831934716288,48.47086906958411,34.77435000583428,19.83702079357076,-35.087716966683985,3.738113611468474,0.1274,0.008150000000000001,0.008150000000000001,association,5.941317978182313,0.08045454,1.632823,1.632823,,4.1607275,True,13.656409,none,03135299+3446280,10.927,0.02,0.0130970759794782,0.0006790599188801,10.91390292402052,4.783316905794916,False,0.6332422488098581,0.015961774857962574,0.016082859203226718,40.36175740200815,0.09261523412462928,2.162828619214296
Feinstein2024,TIC 137961648,138119761624769920,50.15142720628327,35.676889875140475,17.52338453511715,-28.0525832744848,5.828574850835036,0.1274,0.008150000000000001,0.008150000000000001,association,4.881510785391345,0.03275588,1.885251,1.885251,,1.1752969,False,14.682361,none,03203631+3540373,11.625,0.018,0.0186716162420391,0.0009575730021872,11.60632838375796,5.049099649730223,False,0.5945931909918656,0.014502951899709404,0.014794545567096251,45.20732586126027,0.12892987452349497,2.6707006843996717
Feinstein2024,TIC 17336502,145260574251299200,65.93794174930463,21.03860017253916,13.322660268012497,-38.46689916490579,0.7325538445368436,0.1274,0.008150000000000001,0.008150000000000001,association,6.174160148802428,0.07751642,3.1124134,2.4836134,0.6288,0.9715997,False,16.771202,none,04234508+2102197,12.679,0.025,0.0378876636048503,0.0019780084024628,12.64111233639515,6.594001787716021,False,0.34823690856036854,0.009445521084716413,0.009633485965027722,176.81480471514902,0.0041430571705632765,25.770671035477477
Feinstein2024,TIC 118679341,146764809236423808,69.75684709577561,23.60072493439916,7.932523978996187,-21.593136773853185,2.334891868333597,0.0045,0.0009,0.0009,association,7.889087955780814,0.02694817,3.1112623,2.5500623,0.5612,1.2128042,True,14.34845,none,04390163+2336029,10.185,0.018,0.0030119637094127,0.0001693536731771,10.181988036290587,4.66712202656662,False,0.6498311594904673,0.015620885612917967,0.015829387595877265,38.74078384407434,0.06026960832106999,1.9945696680252603
Feinstein2024,TIC 118679380,146767935972608128,69.77387281053254,23.63636469688725,8.436753427013725,-22.32903365989565,5.5737051219518365,0.0045,0.0009,0.0009,association,7.916377024819297,0.034938704,3.382515,3.382515,,1.0318458,False,14.838965,none,04390571+2338112,10.475,0.017,0.0030044893537507,0.0001975780725827,10.471995510646249,4.964627859174136,False,0.6070737468593608,0.014758485415468203,0.014885846367476474,42.91879387831389,0.12986630373991315,2.428251996140769
Feinstein2024,TIC 118710667,146874275068113664,70.00283671430812,23.972431335300765,7.950696342276189,-21.0341009313852,10.326570595694095,0.0045,0.0009,0.0009,association,7.914477518747339,0.0740247,3.8545256,3.8545256,,0.95804274,False,16.328197,none,04400067+2358211,11.485,0.021,0.0028725441680267,0.0002651969406389,11.482127455831973,5.974238704878411,False,0.44818590537891057,0.01104485195916427,0.011185730687190643,78.40293132213793,0.1317115370758883,5.732676182763618
Feinstein2024,TIC 150059917,146881048231272192,69.8902066356562,23.98913430861268,7.773581852080031,-21.12006919520145,2.342113200326549,0.0045,0.0009,0.0009,association,7.867153401972911,0.04733021,3.2498522,2.7368522,0.513,1.1085439,False,14.978098,none,04393364+2359212,10.277,0.018,0.0031671957102855,0.0002098882269225,10.273832804289714,4.7529208971849535,False,0.6375518973223699,0.015409822592312494,0.015657513693359104,39.94064317592842,0.058639846885042216,2.119116470015962
Feinstein2024,TIC 118521012,147523609698860160,68.98731321918493,23.86305147598553,8.584753022087137,-21.09419270889554,5.016511690519324,0.0045,0.0009,0.0009,association,7.832410677864724,0.037025485,3.4153357,3.4153357,,1.3150539,True,14.467099,none,04355694+2351472,10.078,0.018,0.003621334865397,0.0002343168244946,10.074378665134603,4.543855919206122,False,0.6674404212538383,0.016102529516334507,0.01630272267662758,37.02010740891066,0.1355077562338963,1.815961441568212
Feinstein2024,TIC 150094956,148589276984170496,70.20782554653533,26.778912958137024,16.200567713396225,-22.81441548576704,3.4402279862097784,0.079,0.0019,0.0019,association,5.388304176992099,0.049018696,2.9390297,2.2238297,0.7152,1.039238,False,16.033718,none,04404986+2646444,11.946,0.02,0.0766448978293827,0.0039820806013903,11.869355102170617,5.526615623413145,False,0.521159093470886,0.012696473097584704,0.012888768818772989,65.81505637627218,0.0522711393961528,4.820511331613925
Feinstein2024,TIC 268513263,151574107455728256,68.88195711816647,27.25210466471861,8.98844138253678,-27.269390055411996,2.0568319753690014,0.0045,0.0009,0.0009,association,7.869157482842466,0.023509385,2.7372236,2.3196236,0.4176,1.221917,True,13.854546,none,04353164+2715081,10.026,0.018,0.004041773304339,0.0002468307774482,10.021958226695661,4.501599410638738,False,0.6736377170500185,0.01626784812020965,0.01645243999768209,36.51050951709868,0.05633534022322371,1.780905707374954
Feinstein2024,TIC 268322118,151793868047070848,67.88018752490731,27.24543947322643,18.048659560828664,-25.039728774653017,6.11108768408335,0.079,0.0019,0.0019,association,5.769476947709697,0.05743709,3.2783327,1.4026327,1.8757,1.0818958,False,16.163517,none,04313121+2714440,10.874,0.018,0.1422335741246137,0.0073455041601207,10.731766425875387,4.5374486380838075,False,0.6683592191042124,0.016297507375877873,0.01657406249750948,36.93032773324554,0.16547612921891314,1.8066422062287035
Feinstein2024,TIC 268326359,151795487250202240,67.99668838612448,27.188505849856952,8.799793636216654,-27.0101210632526,1.40715324108206,0.0045,0.0009,0.0009,association,7.765811547716716,0.043571725,3.2867842,2.6405842,0.6462,1.1286811,False,15.320216,none,04315919+2711190,11.129,0.019,0.0057593116400622,0.000506170619525,11.123240688359937,5.574174925114578,False,0.5135302940228506,0.012262306839067594,0.012402162970081121,67.13102428105829,0.02096129555823123,4.915871324714368
Feinstein2024,TIC 58601266,152029992465874560,66.0871201152947,26.514063090317865,9.621886131283205,-27.205623159721306,2.82167762801018,0.0045,0.0009,0.0009,association,7.7867663539226335,0.13498652,3.811184,3.3085839999999997,0.5026,1.0236251,False,17.60237,none,04242090+2630511,12.433,0.018,0.0057695491632272,0.001394429738675,12.427230450836772,6.8840161691072606,False,0.30510929649684404,0.008880509253133051,0.009027850485592737,233.1017294095564,0.012104919320665068,47.129620909937984
Feinstein2024,TIC 58606664,152118881108855680,66.18781424560488,27.02898385157661,8.419223921535403,-26.770808579368097,0.993889247316236,0.0045,0.0009,0.0009,association,7.754883485289298,0.025664,3.0774097,2.5091096999999998,0.5683,1.0637792,False,14.545328,none,04244506+2701447,10.458,0.022,0.0067168609795884,0.0004047389720608,10.451283139020411,4.899159524316527,False,0.6165427829901491,0.0150605996480776,0.015274870801307183,41.993533776391146,0.023667673518702602,2.3322089153856305
