moca_oid,GaiaDR3_ID,twomass_id,moca_aid,moca_mtid,designation,ra,dec,spectral_type,banyan_prob,gmag,rmag,bmag,parallax_mas,prot_days,age_string_myr,age_myr,age_myr_unc,age_myr_unc_pos,age_myr_unc_neg,phot_g_mean_mag,bp_rp,ruwe,parallax,ebpminrp_gspphot,bprp0,flag_high_ruwe
16549,3409290995993067648,04421880+1741383,CHYA,HM,LP 415-348,70.578736326359,17.6938601821142,(M3.3),99.9999,13.755,12.554,15.276,19.297199249267575,12.22,695 +85/-67,695.0,76.0,85.0,67.0,13.7573,2.722661,1.1769052,19.297225365639274,,,False
3894,3405909374965722368,04483062+1623187,HYA,HM,LP 416-570,72.1280639,16.3884224,(M0.0),99.9999,11.646,10.657,12.637,20.76469993591309,15.9145,695 +85/-67,695.0,76.0,85.0,67.0,11.648043,1.9819012,1.1263552,20.764649973138543,,,False
3820,3410076150374417408,04440667+1902078,HYA,HM,WISEA J044406.76+190207.4,71.02831552399883,19.03534393734991,(M6.0),99.9999,15.545,14.242,17.457,20.307300567626953,0.376,695 +85/-67,695.0,76.0,85.0,67.0,15.546968,3.2166424,1.0533235,20.307270756677806,0.0008,3.2158425,False
82639,3314294771901304192,04335544+1822507,HYA,HM,Gaia DR2 3314294771901304192,68.4815672,18.380648,(M5.9),99.9999,14.97,13.699,16.755,21.587900161743164,1.46,695 +85/-67,695.0,76.0,85.0,67.0,14.972231,3.0574532,1.0239731,21.587850129123968,,,False
82565,3311102820926310784,04213508+1441427,HYA,HM,Gaia DR2 3311102820926310784,65.396677,14.6951651,(M3.7),99.9999,14.277,13.047,15.909,20.32670021057129,3.64,695 +85/-67,695.0,76.0,85.0,67.0,14.278773,2.862668,1.3977338,20.326692831232425,0.0006,2.862068,True
16537,3410639993682264960,04323784+1902480,HYA,HM,LP 415-183,68.1580489994793,19.0465836314855,(M3.6),99.9999,13.743,12.518,15.342,23.27519989013672,18.44,695 +85/-67,695.0,76.0,85.0,67.0,13.744849,2.8254795,1.236391,23.275164118655212,0.0,2.8254795,True
3459,3312440445540818304,04311634+1500122,HYA,HM,[BKM2008] HB13c01-162s,67.8186265,15.0032564,(M6.0),99.9999,16.089,14.731,18.273,21.053199768066406,1.071,695 +85/-67,695.0,76.0,85.0,67.0,16.090866,3.5432816,1.1030897,21.05318989100504,,,False
3422,3312960205303089664,04295572+1654506,HYA,HM,HG 7-244,67.4827388,16.9139281,(M1.4),99.9999,11.964,10.9,13.098,22.726499557495117,14.52,695 +85/-67,695.0,76.0,85.0,67.0,11.965812,2.199377,1.2046871,22.72646779815639,,,True
5933,661413800965826688,,CPRA,HM,UGCS J084053.91+195955.2,130.22453494,19.99863423,(M3.7),99.9999,16.568,15.339,17.948,5.387430191040039,24.424,617.0,617.0,25.0,40.0,10.0,16.58389,2.6200504,1.0606885,5.387433072663144,,,False
5582,659703957305493632,08381655+1859287,CPRA,HM,2MASS J08381655+1859287,129.5670145,18.9887034,(M2.8),99.9999,16.129,14.965,17.5,5.440780162811279,29.45875,617.0,617.0,25.0,40.0,10.0,16.147707,2.546174,1.0032848,5.440779202172322,0.2965,2.249674,False
86862,3406094750050845696,04493656+1701593,CHYA,HM,Gaia DR2 3406094750050845696,72.402785,17.0329888,(M5.9),99.9999,14.759,13.488,16.533,19.838199615478516,1.43,695 +85/-67,695.0,76.0,85.0,67.0,14.760649,3.046856,1.0617995,19.838239321614715,,,False
16554,3405952363294872960,04453255+1635536,CHYA,HM,2MASS J04453255+1635536,71.3860627,16.5981375,(M5.6),99.9999,15.283,13.976,17.203,18.691699981689453,1.24,695 +85/-67,695.0,76.0,85.0,67.0,15.285325,3.2289076,1.1018622,18.691742588910458,,,False
137401,5514584149460341632,08084869-4844532,NGC2547,HM,Gaia DR2 5514584149460341632,122.202925,-48.7481271,(M3.1),99.9998,17.092,15.906,18.543,2.631380081176758,5.703,34.9 ± 1.2,34.9,1.2,1.2,1.2,17.18373,2.6926346,0.93758786,2.6313832972633744,0.3992,2.2934346,False
137122,5514358749577486336,08092450-4928575,NGC2547,HM,Gaia DR2 5514358749577486336,122.3520871,-49.4826552,(M2.9),99.9998,16.299,15.126,17.693,2.559190034866333,1.189,34.9 ± 1.2,34.9,1.2,1.2,1.2,16.421,2.6419773,1.0037991,2.5591943773907957,0.3961,2.2458773,False
5573,659753126090987776,08381343+1908299,CPRA,HM,2MASS J08381343+1908299,129.5558232,19.1415261,(M6.0),99.9998,17.582,16.31,19.351,5.41310977935791,2.2325,617.0,617.0,25.0,40.0,10.0,17.599659,3.0535088,0.983591,5.413109807148226,,,False
16520,49520255665123328,04192976+2145141,HYA,HM,LP 358-685,64.8745327669322,21.7537419955923,(M2.8),99.9998,12.845,11.684,14.226,21.0314998626709,1.1534199714660645,695 +85/-67,695.0,76.0,85.0,67.0,12.847304,2.5429764,1.1849926,21.031458216917265,,,False
