moca_oid,GaiaDR3_ID,twomass_id,moca_aid,moca_mtid,designation,ra,dec,spectral_type,banyan_prob,gmag,rmag,bmag,parallax_mas,prot_days,age_string_myr,age_myr,age_myr_unc,age_myr_unc_pos,age_myr_unc_neg,k_m,k_cmsig,k_msigcom,k_snr,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
1985710,467089513191937024,03055862+6355589,HSC1119,CM,Gaia DR3 467089513191937024,46.49428,63.933033,(M4.3),99.6975,19.30008,18.02783,20.99315,1.9942022356968243,1.1247977163388023,"1400 (-1200,+8600)",1400.0,4900.0,8600.0,1200.0,15.473,0.189,0.1892,5.65,2.9655876,,1.0296715,1.9942022356968243,
3189579,4958681859406152704,01401021-4329587,HSC2229,CM,Gaia DR3 4958681859406152704,25.0425904,-43.4995832,(M3.5),99.85,17.22327,16.01259,18.75662,3.900105913112516,1.1781823595657623,"4800 (-1900,+5200)",4800.0,3600.0,5200.0,1900.0,13.462,0.0318,0.0329,42.82,2.7444458,0.3236,1.1099397,3.900105913112516,2.4208457
3189347,4934270742765284736,01275009-4611591,HSC2229,CM,Gaia DR3 4934270742765284736,21.9588483,-46.1996737,(M3.8),99.052,17.72969,16.49617,19.40788,4.078971678500925,1.0949842663462463,"4800 (-1900,+5200)",4800.0,3600.0,5200.0,1900.0,13.851,0.043,0.0439,26.98,2.9119854,0.3383,1.0321357,4.078971678500925,2.5736854
123951,5308852497266068096,09375078-5419335,HSC2231,CM,Gaia DR2 5308852497266068096,144.461591,-54.325977,(M4.2),93.0405,16.584,15.319,18.018,6.625549793243408,0.6940619945526123,"1400 (-560,+1100)",1400.0,860.0,1100.0,560.0,12.733,0.0345,0.0356,68.11,2.7170029,0.3559,1.0809177,6.625554538895892,2.3611028
225405,5876714969904985216,15162129-5946583,HSC2672,CM,Gaia DR2 5876714969904985216,229.08871,-59.782883,(M2.7),99.0377,16.133,14.977,17.552,5.076640129089356,1.2989200353622437,"1980 (-990,+5600)",1980.0,3300.0,5600.0,990.0,12.612,0.0212,0.0229,55.8,2.7328987,0.4459,0.9375156,5.076637050871762,2.2869987
3008679,4271317075766738688,18232666-0123161,HSC287,CM,Gaia DR3 4271317075766738688,275.861119,-1.387809,(M1.2),99.6981,18.56169,17.50736,19.84607,0.3706142668170512,2.16666,"2400 (-1100,+6100)",2400.0,3600.0,6100.0,1100.0,15.21,0.1662,0.1664,6.49,2.3390675,0.629,1.0410638,0.3706142668170512,1.7100675
2068117,1751469899325480704,20485522+1033528,HSC465,CM,Gaia DR3 1751469899325480704,312.2301782,10.5646935,(M0.0),99.872,16.27853,15.28635,17.26554,2.062177822899605,4.764400973661711,"1520 (-960,+2800)",1520.0,1900.0,2800.0,960.0,13.091,0.0391,0.04,50.7,1.9793367,0.2085,1.0378295,2.062177822899605,1.7708367
2111646,1859186888833766400,20424354+2954097,HSC576,CM,Gaia DR3 1859186888833766400,310.6813976,29.9026816,(M0.0),99.8317,17.78347,16.79424,18.79418,1.4072760777410211,0.3925658534119324,"3500 (-1300,+6300)",3500.0,3800.0,6300.0,1300.0,14.721,0.1201,0.1204,9.84,2.0000267,0.3094,0.9865835,1.4072760777410211,1.6906267
2555120,2857830423685107072,00312210+2819485,HSC911,CM,Gaia DR3 2857830423685107072,7.8419571,28.3301197,(M5.9),89.6328,16.50332,15.26598,18.15898,8.63419442553171,0.9582671086350336,"4400 (-2100,+5600)",4400.0,3800.0,5600.0,2100.0,12.693,0.0233,0.0248,86.94,2.9073277,0.3969,1.0103829,8.63419442553171,2.5104277
2833383,3419393686786357248,04592892+2342482,HURE5648,CM,Gaia DR3 3419393686786357248,74.8705066,23.7134006,(M5.9),,16.86629,15.88421,17.76113,1.5671997257199,0.5213702890323769,"1030 (-330,+540)",1030.0,430.0,540.0,330.0,13.481,0.0473,0.0481,29.79,1.8770485,0.9567,1.1735888,1.5671997257199,0.92034847
