star_id,alternate_id,prot_days,prot_err_days,prot_err_plus_days,prot_err_minus_days,age_gyr,age_err_gyr,age_err_plus_gyr,age_err_minus_gyr,bibcode,sample_name,tier_name,quality_note,teff_k,spectral_type_estimate,age_label_type,period_measurement_type,source_url
KIC 4914423,,23.07,10.69,10.69,10.69,5.50,0.65,0.65,0.65,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; borderline central age = 5.50 Gyr,,,,,
KIC 6116048,,17.90,1.02,1.02,1.02,5.65,0.40,0.40,0.40,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 9410862,,20.58,8.99,8.99,8.99,5.89,0.67,0.67,0.67,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; broad Prot uncertainty,,,,,
KIC 7106245,,21.41,18.50,18.50,18.50,6.07,0.64,0.64,0.64,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; very broad Prot uncertainty,,,,,
KIC 4914923,,21.39,4.47,4.47,4.47,6.40,0.51,0.51,0.51,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 6933899,,28.91,4.27,4.27,4.27,6.42,0.68,0.68,0.68,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 6521045,,24.78,1.94,1.94,1.94,6.50,0.56,0.56,0.56,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 3544595,,26.06,4.29,4.29,4.29,6.55,0.70,0.70,0.70,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 10516096,,22.62,2.52,2.52,2.52,6.57,0.48,0.48,0.48,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 11401755,,18.48,4.52,4.52,4.52,6.60,0.59,0.59,0.59,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 12069449,,21.18,1.64,1.64,1.64,6.89,0.35,0.35,0.35,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 7296438,,45.59,26.21,26.21,26.21,6.92,0.51,0.51,0.51,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; very broad Prot uncertainty,,,,,
KIC 11295426,,42.61,13.02,13.02,13.02,6.96,0.43,0.43,0.43,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; broad Prot uncertainty,,,,,
KIC 12069424,,20.52,1.54,1.54,1.54,7.07,0.44,0.44,0.44,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 9955598,,31.41,7.72,7.72,7.72,7.07,0.62,0.62,0.62,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 7680114,,27.34,16.52,16.52,16.52,7.25,0.54,0.54,0.54,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; very broad Prot uncertainty,,,,,
KIC 10586004,,19.60,8.81,8.81,8.81,7.39,0.73,0.73,0.73,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; broad Prot uncertainty,,,,,
KIC 10514430,,53.56,25.42,25.42,25.42,7.39,0.62,0.62,0.62,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; broad Prot uncertainty,,,,,
KIC 9098294,,27.21,6.37,6.37,6.37,7.68,0.55,0.55,0.55,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 7871531,,33.09,4.10,4.10,4.10,8.49,0.74,0.74,0.74,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 3656476,,48.04,10.40,10.40,10.40,8.56,0.56,0.56,0.56,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 5950854,,22.91,26.94,26.94,26.94,8.92,0.68,0.68,0.68,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; very uncertain Prot,,,,,
KIC 8424992,,42.30,18.51,18.51,18.51,9.48,0.70,0.70,0.70,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; broad Prot uncertainty,,,,,
KIC 11772920,,35.11,4.99,4.99,4.99,9.66,0.81,0.81,0.81,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 7970740,,39.17,7.85,7.85,7.85,9.84,0.61,0.61,0.61,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table,,,,,
KIC 11904151,,40.94,14.66,14.66,14.66,9.85,0.67,0.67,0.67,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; broad Prot uncertainty,,,,,
KIC 8349582,,41.68,17.26,17.26,17.26,10.15,1.08,1.08,1.08,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; broad Prot uncertainty,,,,,
KIC 6278762,,32.97,13.53,13.53,13.53,11.02,0.85,0.85,0.85,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; coolest/high-value K-dwarf-ish object in tier 1,,,,,
KIC 4143755,,48.10,30.07,30.07,30.07,11.67,0.77,0.77,0.77,2023arXiv230905666S,Kepler asteroseismic field dwarfs,Tier 1 - high-trust old FGK asteroseismic,central age >=5.5 Gyr; asteroseismic rotation/age table; very broad Prot uncertainty,,,,,
GJ 84,ASAS 020504-1736.9,44.51,,,,10.00,,,,2007AcA....57..149K,ASAS old-disk M dwarfs,Tier 2 - weak old-field M-dwarf constraints,kinematic old-disk label; paper treats old-disk population as of order 10 Gyr; period/age uncertainties not tabulated; use as weak age label,,,,,
GJ 176,ASAS 044256+1857.5,38.92,,,,10.00,,,,2007AcA....57..149K,ASAS old-disk M dwarfs,Tier 2 - weak old-field M-dwarf constraints,kinematic old-disk label; paper treats old-disk population as of order 10 Gyr; period/age uncertainties not tabulated; use as weak age label,,,,,
GJ 205,ASAS 053127-0340.6,33.61,,,,10.00,,,,2007AcA....57..149K,ASAS old-disk M dwarfs,Tier 2 - weak old-field M-dwarf constraints,kinematic old-disk label; paper treats old-disk population as of order 10 Gyr; period/age uncertainties not tabulated; use as weak age label,,,,,
GJ 618A,ASAS 162003-3731.7,56.52,,,,10.00,,,,2007AcA....57..149K,ASAS old-disk M dwarfs,Tier 2 - weak old-field M-dwarf constraints,kinematic old-disk label; paper treats old-disk population as of order 10 Gyr; period/age uncertainties not tabulated; use as weak age label,,,,,
GJ 411,ASAS 110321+3558.2,48.00,,,,10.00,,,,2007AcA....57..149K,ASAS old-disk M dwarfs,Tier 2 - weak old-field M-dwarf constraints,kinematic old-disk label; paper treats old-disk population as of order 10 Gyr; period/age uncertainties not tabulated; use as weak age label,,,,,
GJ 699,ASAS 175749+0441.6,130.00,,,,10.00,,,,2007AcA....57..149K,ASAS old-disk M dwarfs,Tier 2 - weak old-field M-dwarf constraints,kinematic old-disk label; paper treats old-disk population as of order 10 Gyr; period/age uncertainties not tabulated; use as weak age label,,,,,
