name,source_id,role,binary_type,mass_msun,prot_days,parallax,bp_rp,ebpminrp_gspphot,ruwe,flag_high_ruwe,bprp0,age_gyr_cf,age_gyr_upper,age_gyr_lower
G 271-110,2478001486169801216,primary,FGKM,0.31,1.06,41.69892726044635,2.8796167373657227,,1.708186149597168,True,2.8796167373657227,0.27077752393513355,0.1875791967498066,0.12790294781063136
HD 10008,2477815222028038272,companion,FGKM,,7.1,41.56362142958949,0.9709339141845704,0.0,0.9679045081138612,False,0.9709339141845704,0.27077752393513355,0.1875791967498066,0.12790294781063136
LP 99-392,1603272950424941440,primary,FGKM,0.31,1.196,51.346175446970754,2.7766218185424805,0.0,1.356397271156311,False,2.7766218185424805,0.321519418120576,0.06391096432976928,0.060882437393529165
HD 139477,1603267143629157120,companion,FGKM,,11.2,51.222192287747625,1.2921876907348633,0.0,0.968590259552002,False,1.2921876907348633,0.321519418120576,0.06391096432976928,0.060882437393529165
LP 128-32,837177915851182080,primary,FGKM,0.32,6.5,37.888515571378335,2.7945518493652344,0.0,1.4145148992538452,True,2.7945518493652344,0.2258779688883771,0.0836006361532243,0.0701910039704089
HD 93811,837178843564106112,companion,FGKM,,8.5,,1.110750675201416,,,False,1.110750675201416,0.2258779688883771,0.0836006361532243,0.0701910039704089
GJ 166 C,3195919254111314816,primary,FGKM,0.24,,199.4516185973888,2.989675521850586,,1.5311920642852783,True,2.989675521850586,7.423874655060244,0.5128194048214407,0.5456322470423238
GJ 166 A,3195919528989223040,companion,FGKM,,42.0,199.6080124181338,1.041245460510254,,1.944932103157044,True,1.041245460510254,7.423874655060244,0.5128194048214407,0.5456322470423238
LP 876-10,6623351805412369024,primary,FGKM,0.2,0.318,130.27065669284806,3.01472282409668,,1.2056622505187988,False,3.01472282409668,0.21950349593109783,0.04615537609692008,0.034641836654772384
HD 216803,6604147121141267712,companion,FGKM,,10.1,131.55250924995755,1.3403124809265137,0.0,0.9246975183486938,False,1.3403124809265137,0.21950349593109783,0.04615537609692008,0.034641836654772384
LSPM J0849+0329W,581103581886377728,primary,FGKM,0.23,4.4,32.95005143827675,2.915384292602539,,1.083454728126526,False,2.915384292602539,4.030931383166562,0.5323713301024009,0.5040781490325195
HD 75302,581100382135253760,companion,FGKM,,16.4,32.977696569279644,0.8505048751831055,0.0,1.003922939300537,False,0.8505048751831055,4.030931383166562,0.5323713301024009,0.5040781490325195
G 232-62,2005804153064109056,primary,FGKM,0.27,59.0,45.62526269464586,2.851559638977051,0.0,1.2321561574935913,False,2.851559638977051,0.42808649926488096,0.1989564622382175,0.17959283779066063
HD 211472,2005798350576886144,companion,FGKM,,8.5,45.59130522405319,0.9885449409484864,0.0,1.0112457275390625,False,0.9885449409484864,0.42808649926488096,0.1989564622382175,0.17959283779066063
2MASS J22562702+7600101,2281128259862423680,primary,FGKM,0.19,2.51,40.76475958854913,2.960723876953125,0.0,1.2299580574035645,False,2.960723876953125,2.3398563147272236,0.18561443215094142,0.19256042945488883
HD 217142,2281114756485256704,companion,FGKM,,20.3,40.682667361756224,1.1153764724731443,,0.9324589371681212,False,1.1153764724731443,2.3398563147272236,0.18561443215094142,0.19256042945488883
2MASS J05363846+1117487,3339914973377653760,primary,FGKM,0.29,5.3,87.34527041122139,2.813897132873535,,1.226538896560669,False,2.813897132873535,0.2153541043134414,0.04778184212629452,0.05074492333963759
HD 245409,3339921875389105152,companion,FGKM,,11.2,87.529739914385,1.815884113311768,,1.13435959815979,False,1.815884113311768,0.2153541043134414,0.04778184212629452,0.05074492333963759
HD 183870 B,4187836934609063552,primary,FGKM,0.24,2.32,56.58714297584129,2.8679113388061523,0.0,1.2583688497543335,False,2.8679113388061523,,,
HD 183870,4187837450005193088,companion,FGKM,,,56.56573877095166,1.1076202392578125,0.0,1.0487680435180664,False,1.1076202392578125,,,
