df_id,prot_id,GaiaDR3_ID,subgroup,data_catalog,prot_source,P_rot,mem_prob_val,mem_prob_val_source,P_out,ra,dec,pmra,pmdec,G0,BPRP0,BPRP0_err,logBPRP0_err,sampled_avg_dist_pc,dustmap_query,dustmap_used,age_Myr,logA_Myr,cmd_exclude
38216,38216,5290646440127895936,NGC2516,F+20,Fritzewski2020,1.897,0.815419190528468,PC,0.05,119.47056916987046,-61.25993579568598,-4.322786115211525,11.691179009373926,18.559825013128506,2.6068166787352003,0.08407088697401789,-1.0753543706167432,408.802597625088,Edenhofer,Edenhofer,263,2.42,0
38227,38227,5290651323511794816,NGC2516,F+20,Fritzewski2020,6.312,0.9847927558390978,PC,0.05,119.74877564320529,-61.1818790444875,-4.815589950124294,11.08859972196965,13.874331188201763,1.0427983860929382,0.015707651841007152,-1.8038887334014357,404.049094068156,Edenhofer,Edenhofer,263,2.42,0
38229,38229,5290652663541576832,NGC2516,F+20,Fritzewski2020,3.979,0.7141220604771276,PC,0.05,119.61300964412632,-61.21348870610452,-4.009733401460018,11.072641853297384,14.529638681088104,1.213373969948525,0.015830877927388805,-1.800494999954571,420.1007747723485,Edenhofer,Edenhofer,263,2.42,0
38230,38230,5290652732261058816,NGC2516,F+20,Fritzewski2020,8.766,0.8326712941704548,PC,0.05,119.67428477889982,-61.200523485053395,-4.754725024129835,11.223665684667782,16.208357577346824,2.196376404872292,0.017647284136490644,-1.7533221217373829,397.41358018701385,Edenhofer,Edenhofer,263,2.42,0
38232,38232,5290653350736340736,NGC2516,F+20,Fritzewski2020,8.524,1,PC,0.05,119.50911579428767,-61.19114913059818,-4.920168615971372,11.32748345185646,13.608169650333103,1.1687538818600398,0.015413598372601579,-1.8120959614804992,407.05403302445774,Edenhofer,Edenhofer,263,2.42,0
38233,38233,5290654205428930688,NGC2516,F+20,Fritzewski2020,0.866,0.3988581711168859,PC,0.05,119.601096515452,-61.10987802531312,-4.892428958976401,11.778592992739021,18.05676595427165,2.937004669472992,0.05819340422820315,-1.2351262364776716,433.04521510916294,Edenhofer,Edenhofer,263,2.42,0
38235,38235,5290654858263942656,NGC2516,F+20,Fritzewski2020,0.762,0.3927168726795922,PC,0.05,119.8034753517065,-61.115173434600095,-4.030702024599112,10.912157965216569,18.01512852170116,2.5293262858841303,0.040390870468855485,-1.3937167871928,377.2008736054164,Edenhofer,Edenhofer,263,2.42,0
38248,38248,5290659363690545920,NGC2516,F+20,Fritzewski2020,0.545,0.9717937431277572,PC,0.05,119.40728406985181,-61.196907956514195,-4.888470101238189,11.234139300614514,15.252331732331413,1.5473479560872916,0.01842967854403176,-1.7344822398091793,411.8195402803808,Edenhofer,Edenhofer,263,2.42,0
23879,23879,145034968209407232,Taurus_D3,L+23,Long2023,2.778,0.9,source,0.05,67.82024622154509,21.840279556121672,0.5447384245973845,-14.986500451967869,10.524611465972862,1.0168212491087352,0.015734935681531968,-1.8031350279787774,123.99209988375245,Edenhofer,Edenhofer,6.22,0.7938000000000001,0
23843,23843,145203704587705088,Taurus_C5,L+23,Long2023,3.73,0.9,source,0.05,68.56370464481017,22.841812511516327,11.067709356832355,-16.82794162409496,18.038413034964822,3.4497509261602923,0.6248318442984754,-0.20423684492671187,162.05509046794876,Edenhofer,Edenhofer,2.01,0.30320000000000036,0
23816,23816,145217379763796992,Taurus_C5,L+23,Long2023,0.966,0.9,source,0.05,69.16224966214106,22.969886167029312,9.214297032350546,-16.477912049051902,17.2053198373375,4.153749013333825,0.24209905961824074,-0.6160068974785567,178.8193365924701,Edenhofer,Edenhofer,2.01,0.30320000000000036,0
29720,29720,145951789107603200,Taurus_C5,L+23,Long2023,2.205,0.9,source,0.05,68.20469024896032,22.884054084380224,7.617657439766367,-15.777537287212983,12.896429807355984,2.209177209680636,0.11363166121274973,-0.9445006442043433,161.1445753688324,both,Edenhofer,2.01,0.30320000000000036,0
23807,23807,146675954953119104,Taurus_C6,L+23,Long2023,6.398,0.9,source,0.05,69.56505447855297,23.040908138079157,-1.1212145656157482,-17.177806259876203,12.939699021805875,1.9969305660403383,0.014985537628054551,-1.8243276714898427,125.74365904733995,Edenhofer,Edenhofer,1.57,0.19589999999999996,0
23811,23811,148420639387738112,Taurus_C7,L+23,Long2023,0.664,0.9,source,0.05,69.50363896330232,25.982476098441314,5.300793626196495,-22.279837637011568,15.94449067243292,5.027377645392644,0.23006086404021658,-0.6381572534606362,147.06010607494164,Edenhofer,Edenhofer,2.59,0.41329999999999956,0
23782,23782,148599305732728320,Taurus_D4,L+23,Long2023,0.982,0.9,source,0.05,70.4798006356311,26.980297728828287,-1.7895080180264364,-21.73188077922974,9.537888096250104,0.855383431940802,0.015125517181739143,-1.820289766735962,109.47893847215396,Edenhofer,Edenhofer,2.49,0.39620000000000033,0
38131,38131,154422804645274368,Hyades,D+19,Douglas2019,1.48,0.9,source,0.05,72.49203132497155,27.209897959048806,99.99158047538431,-73.78189171405867,14.101388,2.9176044,0.014933793184816172,-1.825829867425538,40.87471768838985,Edenhofer,Edenhofer,775,2.8897999999999993,0
21035,21035,2075876858039254272,NGC6866,L+23,Long2023,1.095,1,PC,0.05,300.9752231980204,44.07106277294875,-1.4004347327307718,-5.74696035686967,13.695000881282924,0.5186393606715441,0.038447390757435425,-1.4151331283748685,1389.2125154888286,Bayestar,Bayestar,735,2.8666,0
21040,21040,2075877373435348096,NGC6866,L+23,Long2023,0.737,0.7286183828340211,PC,0.05,300.9541440596467,44.136658729932854,-1.2901347598986694,-5.729583288128255,13.671848097221135,0.4819225891030787,0.03243307969185685,-1.4890118108189676,1397.0018014561351,Bayestar,Bayestar,735,2.8666,0
21045,21045,2075877648313310080,NGC6866,L+23,Long2023,0.509,0.7807960957128922,PC,0.05,301.01957266089653,44.1581995682931,-1.445983177093376,-5.7227610768433514,13.536592166136504,0.45622165109553336,0.0531609375084613,-1.2744073687533592,1369.5377338211608,Bayestar,Bayestar,735,2.8666,0
21052,21052,2075877888831465600,NGC6866,L+23,Long2023,0.452,1,PC,0.05,300.98315789262574,44.17949764016352,-1.3376492427168927,-5.731001879373117,13.501337465773165,0.4731281930219483,0.04164042489868968,-1.3804848476001466,1386.3036240892648,Bayestar,Bayestar,735,2.8666,0
21079,21079,2076065076378847744,NGC6866,L+23,Long2023,8.493,0.3509621706371085,PC,0.05,300.912912916973,44.14751069750735,-1.3124269191765112,-5.896300057271498,16.539627502227454,1.061006802560125,0.018445145261661775,-1.7341179202100307,1218.91739786942,both,Edenhofer,735,2.8666,0
18487,18487,2076065630440126208,NGC6866,L+23,Long2023,18.564,1,PC,0.05,300.9456655013008,44.20542267557508,-1.3265721950153213,-5.765839157603175,13.021449965773167,0.3567875530219483,0.04209145602299842,-1.3758060509253764,1383.5572952369214,Bayestar,Bayestar,735,2.8666,0
21093,21093,2076066145836177408,NGC6866,L+23,Long2023,0.402,1,PC,0.05,300.8877228091921,44.20176355556754,-1.3355004022704455,-5.755041922831424,13.341964525131703,0.4090799026861762,0.02046084197627558,-1.689076498770164,1395.7862431138606,Bayestar,Bayestar,735,2.8666,0
18490,18490,2076066661232275456,NGC6866,L+23,Long2023,0.84,0.8686098530571486,PC,0.05,300.913210158028,44.2386090959496,-1.369251984256851,-5.8325666429118925,11.549662087011813,0.17901172669946663,0.16570936841504516,-0.7806529379539578,1389.5398733999152,Bayestar,Bayestar,735,2.8666,0
21103,21103,2076069032054110208,NGC6866,L+23,Long2023,2.21,0.5865975740781186,PC,0.05,300.6798796431149,44.253438281698514,-1.329608639332005,-5.876737967229571,14.652964372496587,0.7291356535375038,0.016218093251029946,-1.7900002067976835,1323.6427397909563,both,Edenhofer,735,2.8666,0
24796,24796,2076294603740304256,NGC6819,L+23,Long2023,7.13,0.8726449825939665,PC,0.05,295.42915200590073,40.058112245214716,-2.8577471265577508,-3.966132940077256,14.335212719243884,0.7537671100731612,0.04322704712052844,-1.3642444305098562,2366.0750241312603,Bayestar,Bayestar,2310,3.3636999999999997,0
24798,24798,2076294844258425984,NGC6819,L+23,Long2023,7.751,0.9711417399519484,PC,0.05,295.3881735748951,40.04055925909914,-2.9422314583504394,-3.898758813178889,14.39940618492937,0.7474974956601141,0.050109360057857315,-1.3000811435579815,2585.618355592131,Bayestar,Bayestar,2310,3.3636999999999997,0
multi,multi,2076295527145521792,NGC6819,multi,multi,22.049,0.3237209986958085,PC,0.05,295.38787600076967,40.086752681338794,-3.1118407060711757,-3.678371285152005,17.850913665415643,1.1464661935572387,0.04339376439182337,-1.3625726733627663,2467.1614961743335,NULL,Bayestar,2310,3.3636999999999997,0
24807,24807,2076297455598475520,NGC6819,L+23,Long2023,4.267,0.6742434008742973,PC,0.05,295.2367822466298,40.067217756289324,-2.9364082850483277,-3.7428919818928597,14.603676965773166,0.6920584230219483,0.03795683473008471,-1.4207100111176023,2538.260907120014,Bayestar,Bayestar,2310,3.3636999999999997,0
31943,31943,2076299414103591936,NGC6819,L+23,Long2023,4.746,0.8257819118327722,PC,0.05,295.2422763088889,40.128873404424276,-2.907392829310613,-3.8895655358441856,15.234190616207124,0.7146276833885192,0.0939043555665485,-1.0273142633819414,2753.8786554784197,Bayestar,Bayestar,2310,3.3636999999999997,0
multi,multi,2076299998219211136,NGC6819,multi,multi,4.650499999999999,0.7754581490637157,PC,0.05,295.2895287950572,40.194871258460175,-2.767740570745575,-3.9102962516938176,15.143193,0.8058386,0.014311775709831451,-1.8443064785296868,2374.6929190876126,Bayestar,Bayestar,2310,3.3636999999999997,0
24927,24927,2076388337105190144,NGC6819,L+23,Long2023,14.861,0.8987360503381032,PC,0.05,295.4982463456171,40.08338740553235,-2.9277263993924354,-3.8536217932175556,14.047986287697555,0.7879392140292645,0.022943396250606686,-1.6393422942061513,2435.571395057998,Bayestar,Bayestar,2310,3.3636999999999997,0
multi,multi,2076389745854474880,NGC6819,multi,multi,21.3275,0.6524415532230823,PC,0.05,295.44645926277974,40.15841136601984,-2.784151230388267,-3.9955924361372523,17.022588050263405,0.9540432853723526,0.07851812227137465,-1.105030094921897,2330.560763079346,Bayestar,Bayestar,2310,3.3636999999999997,0
23839,23839,145982742935380096,Taurus_C5,L+23,Long2023,2.177,0.9,source,0.05,68.68940721429655,23.13399892086192,10.613491797816465,-17.795696273343843,15.574725570377403,3.5363669269529368,0.08984454922766058,-1.0465082659357157,164.84825573546942,Edenhofer,Edenhofer,2.01,0.30320000000000036,0
23882,23882,146285112929523456,Taurus_C6,L+23,Long2023,1.611,0.9,source,0.05,67.59857196488342,23.986844492661923,7.7054466214043345,-22.202108220260772,19.690478007953324,3.0249468271035775,0.29520358497726684,-0.5298783727081054,130.0898699834069,Edenhofer,Edenhofer,1.57,0.19589999999999996,0
20847,20847,146727391481452544,Hyades,L+23,Long2023,35.8,1,source,0.05,69.24266407105962,23.27715799874353,91.3865417851164,-44.813588017583925,17.21223,3.933959,0.06268343649845774,-1.2028472021937775,48.95195930967461,Edenhofer,Edenhofer,775,2.8897999999999993,0
29774,29774,146758968080949504,Taurus_C6,L+23,Long2023,1.231,0.9,source,0.05,69.56793760130232,23.44441638345393,7.602372382216446,-21.906112431081084,15.197935509272885,3.366711518795566,0.016760261801286737,-1.7757192018175458,126.10924004342277,Edenhofer,Edenhofer,1.57,0.19589999999999996,0
23777,23777,147441558642852736,Taurus_C7,L+23,Long2023,4.427,0.9,source,0.05,71.11312402592773,25.204477048215875,5.760237693340571,-19.84765235221169,15.417193459040611,3.9341822064433107,0.049671117459332545,-1.3038960695001898,142.26295809064595,Edenhofer,Edenhofer,2.59,0.41329999999999956,0
29796,29796,147796013704189440,Taurus_C6,L+23,Long2023,6.948,0.9,source,0.05,68.12744347646205,24.33250420981362,6.842342560753991,-21.545867539272187,13.701598397662998,2.907579552135384,0.022023567036864384,-1.6571123393621352,128.50752469299317,Edenhofer,Edenhofer,1.57,0.19589999999999996,0
23867,23867,147799209159857280,Taurus_C6,L+23,Long2023,1.728,0.9,source,0.05,68.07449836548574,24.37070879642205,6.854648846390463,-21.81011677277229,15.69535154035631,4.2883029156744685,0.04086451546400615,-1.3886536462020747,125.7075011938382,Edenhofer,Edenhofer,1.57,0.19589999999999996,0
23861,23861,147801270743616896,Taurus_D4,L+23,Long2023,3.854,0.9,source,0.05,68.20947772637118,24.369796975942023,6.486793089736338,-24.580022293357956,21.879732678957534,2.729533208377012,0.39891355986750127,-0.39912120090364506,111.26211535282127,Edenhofer,Edenhofer,2.49,0.39620000000000033,0
23783,23783,148172179824515968,Taurus_C7,L+23,Long2023,2.919,0.9,source,0.05,70.45107337397727,25.575070958849505,4.50885762486852,-19.77448774530894,18.252153456934945,2.9918004609811555,0.10373921642567087,-0.9840570366903468,134.9323176378711,Edenhofer,Edenhofer,2.59,0.41329999999999956,0
20836,20836,149956519694104704,Hyades,L+23,Long2023,0.451,1,source,0.05,63.70977050373054,24.376841301432634,105.75111782718503,-44.697807051739446,15.712513,3.2000217,0.015863677195959817,-1.7995961360089903,50.287251571744704,Edenhofer,Edenhofer,775,2.8897999999999993,0
20829,20829,154122191294689408,Hyades,L+23,Long2023,3.385,1,source,0.05,74.54729796430098,27.61805800191089,79.79765632030787,-90.19548177850734,14.256348,2.8967543,0.014523599234152676,-1.8379257435650795,46.84313000144788,Edenhofer,Edenhofer,775,2.8897999999999993,0
21036,21036,2075876995478230912,NGC6866,L+23,Long2023,3.906,1,PC,0.05,300.99175373955666,44.09870440109161,-1.312890270364099,-5.793607842473618,14.084580881282925,0.5719621606715442,0.042246943669255764,-1.3742047043613665,1419.8698916662274,Bayestar,Bayestar,735,2.8666,0
18473,18473,2075877648313315456,NGC6866,L+23,Long2023,0.136,1,PC,0.05,301.0165038547134,44.1723272750322,-1.3135592563967977,-5.800411190053167,11.956453716392636,0.2728366632067919,0.05537204657637637,-1.256709424467093,1438.1144852938583,Bayestar,Bayestar,735,2.8666,0
21056,21056,2076056318950838656,NGC6866,L+23,Long2023,2.774,0.9549935215932588,PC,0.05,300.7926305495819,43.96745800381736,-1.4168211380363425,-5.809392575833572,14.102548695434214,0.5604916438711405,0.039146035791036,-1.4073122111602587,1447.9890247498338,Bayestar,Bayestar,735,2.8666,0
18483,18483,2076063152230925312,NGC6866,L+23,Long2023,0.635,0.8625422375277219,PC,0.05,300.82593085497456,44.07082160989738,-1.281137685750828,-5.811139094686402,12.101934050263406,0.1972751053723526,0.03586493396957017,-1.4453299644013227,1434.7220967587616,Bayestar,Bayestar,735,2.8666,0
21073,21073,2076063775014116480,NGC6866,L+23,Long2023,9.56,0.4898505071773416,PC,0.05,300.7909219846689,44.06799257726345,-1.185418504645511,-5.766147548150185,16.346162050263402,1.0213593853723526,0.09048706992417602,-1.043413474516014,1572.628122535832,Bayestar,Bayestar,735,2.8666,0
21084,21084,2076065458641430528,NGC6866,L+23,Long2023,6.31,0.5102376776243559,PC,0.05,300.9511673624173,44.182364239018625,-1.3190312386575305,-5.609347556410111,15.188311965773167,0.7796868230219485,0.04092555518297509,-1.388005420376202,1376.8207143636487,Bayestar,Bayestar,735,2.8666,0
21092,21092,2076066145836171648,NGC6866,L+23,Long2023,6.522,0.6059060284224895,PC,0.05,300.87881156955444,44.19465929440383,-1.2613432362025194,-5.789631699020175,14.832704525131703,0.6838554026861763,0.0271538838511726,-1.566168043994132,1344.3607101315704,Bayestar,Bayestar,735,2.8666,0
31822,31822,2076297833555597952,NGC6819,L+23,Long2023,4.881,0.695430432541255,PC,0.05,295.2184334102719,40.088998346635634,-2.960394126218079,-3.9440409043037516,15.351824965773167,0.6754225230219483,0.03956156566565501,-1.4027265293473696,2685.582725917188,Bayestar,Bayestar,2310,3.3636999999999997,0
24822,24822,2076298795628342144,NGC6819,L+23,Long2023,5.068,0.7620724659471717,PC,0.05,295.3261401881079,40.11780557266621,-3.0266761185119284,-3.8330028579330113,14.547490965773166,0.7525166230219484,0.031555878064012624,-1.5009197307783866,2463.3823402921666,Bayestar,Bayestar,2310,3.3636999999999997,0
31876,31876,2076298795628345088,NGC6819,L+23,Long2023,17.503,0.8547525241168619,PC,0.05,295.33542928580704,40.11235822513643,-2.7764345343521875,-3.7976949359305747,16.901896050263403,0.8905800853723524,0.06486982146768537,-1.1879572973172803,2546.6656086118282,Bayestar,Bayestar,2310,3.3636999999999997,0
24823,24823,2076298829988109952,NGC6819,L+23,Long2023,5.963,0.9280923251321228,PC,0.05,295.34887559579755,40.13365263639564,-2.8367655747404874,-3.839067476256622,14.70962068954587,0.7524843236786365,0.04136998034802042,-1.3833146854073237,2539.658080086605,Bayestar,Bayestar,2310,3.3636999999999997,0
24889,24889,2076299929499804288,NGC6819,L+23,Long2023,7.364,0.6742434008742973,PC,0.05,295.29911196454543,40.173288443119326,-2.9582857267089295,-3.73185393259258,14.579583160962194,0.8803359205036582,0.03539614370548051,-1.4510440503656619,2543.6993120678544,Bayestar,Bayestar,2310,3.3636999999999997,0
24909,24909,2076300028271316224,NGC6819,L+23,Long2023,7.838,0.6144117165197346,PC,0.05,295.31176261583994,40.19756625308143,-2.718633164427833,-3.7965313236085256,14.476486844258444,0.8693067551061302,0.09548515412905176,-1.0200641465421965,2555.1412124095714,Bayestar,Bayestar,2310,3.3636999999999997,0
29797,29797,145950895754320384,Taurus_C5,L+23,Long2023,2.486,0.9,source,0.05,68.10070606855102,22.852232342475713,10.353716126865189,-17.167820241593134,14.140239872175638,2.9255901181350294,0.07545910441452341,-1.1222883535232906,158.99411929831257,Edenhofer,Edenhofer,2.01,0.30320000000000036,0
23866,23866,146277553787186048,Taurus_C6,L+23,Long2023,3.37,0.9,source,0.05,68.09716318394142,24.05030758355711,7.181950514940725,-21.88559931906074,16.73634596919949,4.479776526843333,0.055019345568702166,-1.2594845796604708,126.11214355872224,Edenhofer,Edenhofer,1.57,0.19589999999999996,0
multi,multi,147908438767993216,Hyades,multi,multi,0.76,0.9395,source,0.05,68.18932038399949,25.092549164564915,88.90178298528944,-46.53667097350457,15.238331,3.0954933,0.016823887293406566,-1.7740736497377814,53.907945590137686,Edenhofer,Edenhofer,775,2.8897999999999993,0
29763,29763,148112913570653568,Taurus_C7,L+23,Long2023,1.899,0.9,source,0.05,70.58761283492525,25.342774892288137,4.632661807173679,-19.773843235121667,15.177620499089235,3.521820925885746,0.030477919670520954,-1.5160146799323986,139.02683368724564,Edenhofer,Edenhofer,2.59,0.41329999999999956,0
29801,29801,150908490604475520,Taurus_C6,L+23,Long2023,2.65,0.9,source,0.05,67.94357827418682,25.10643378443019,9.95435611907859,-26.80322676116107,15.758163835865922,3.7678122393062434,0.03356659888443695,-1.4740926611514882,132.14931241367876,Edenhofer,Edenhofer,1.57,0.19589999999999996,0
21031,21031,2075876480082223488,NGC6866,L+23,Long2023,9.564,0.2567150011661085,PC,0.05,301.09079666051844,44.10965080456397,-1.2455336793325187,-5.985824137851317,16.76705730513707,1.1570644533860701,0.01815169947416303,-1.741082707393785,1202.627136481263,both,Edenhofer,735,2.8666,0
18475,18475,2075877712724148224,NGC6866,L+23,Long2023,0.257,0.5698339401611693,PC,0.05,300.9900934358916,44.1437171010642,-1.3848977536217448,-5.895821457080734,10.39462901150906,0.28722754675949574,0.03425682090000521,-1.4652529428780217,1394.6363762470987,Bayestar,Bayestar,735,2.8666,0
21068,21068,2076063122179130624,NGC6866,L+23,Long2023,0.392,1,PC,0.05,300.8487399682226,44.07795406349797,-1.398925653920313,-5.764129619608413,13.602197050263406,0.49036688537235257,0.03680085129507089,-1.4341421349005166,1373.6234704338876,Bayestar,Bayestar,735,2.8666,0
21096,21096,2076066420714081664,NGC6866,L+23,Long2023,8.64,0.6574176004354717,PC,0.05,300.8598142041583,44.227181595070874,-1.4127451597904965,-5.686045832556745,15.958147525131702,0.9260257426861763,0.09710251046120531,-1.0127695418185194,1474.7805153139902,Bayestar,Bayestar,735,2.8666,0
21098,21098,2076066798671203328,NGC6866,L+23,Long2023,4.602,0.6954629779584659,PC,0.05,300.84841507204516,44.24080024804731,-1.3090611923240583,-5.721549194482218,14.547997525131702,0.6313337026861763,0.06957249258638781,-1.157562436815961,1329.0731373902013,Bayestar,Bayestar,735,2.8666,0
21102,21102,2076068860255440640,NGC6866,L+23,Long2023,11.02,0.5795864328447143,PC,0.05,300.71894431189884,44.245406600238724,-1.2477280363750416,-5.762468262000379,16.840515999999997,1.1218737,0.16220490032115845,-0.7899360295928565,1567.4244389156856,Bayestar,Bayestar,735,2.8666,0
21105,21105,2076069444371048448,NGC6866,L+23,Long2023,3.741,0.8043977109633463,PC,0.05,300.8148189376009,44.2578001576102,-1.2922164767343842,-5.762298415052857,14.555238525131703,0.6292117726861762,0.06990087523303008,-1.1555173863931505,1424.4077457153012,Bayestar,Bayestar,735,2.8666,0
