source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,high_ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days
Pass2022,G 271-110,2478001486169801216,24.23068061742952,-6.794333571507654,173.89301818462508,-99.90145357695324,1.06,0.2707775239351335,0.1279029478106313,0.1875791967498066,fgk_companion,41.69892726044635,0.0445653051137924,2.8796167373657227,2.8796167373657227,,1.708186149597168,1.0,12.708993,FGKM,01365516-0647379,8.862,0.021,0.0,0.0,8.862,6.962624412655208,False,0.2940882755775239,0.0070697809412769,0.0071334150162046,237.1200695276251,0.0044703090805922,48.8523106507792
Pass2022,LP 99-392,1603272950424941568,233.8585360449292,60.08470833271646,171.10191876043388,-163.98762912385047,1.196,0.321519418120576,0.0608824373935291,0.0639109643297692,fgk_companion,51.346175446970754,0.019286885857582,2.7766218185424805,2.7766218185424805,0.0,1.356397271156311,1.0,12.155627,FGKM,15352566+6005077,8.412,0.019,0.0,0.0,8.412,6.964540502165563,False,0.293811617125039,0.0069594338149506,0.0070312628443119,236.99605737629875,0.0050464974533353,48.81451218970845
Pass2022,LP 128-32,837177915851182080,162.6579759864245,51.75044065157382,-191.37581662707703,3.2972194719677588,6.5,0.2258779688883771,0.0701910039704089,0.0836006361532243,fgk_companion,37.888515571378335,0.0278541836887598,2.7945518493652344,2.7945518493652344,0.0,1.4145148992538452,1.0,12.762718,FGKM,10503825+5145016,9.015,0.018,0.0,0.0,9.015,6.907537952240907,False,0.3018321508190289,0.0070832654188083,0.0071372000341119,237.37881416231488,0.0273823930873436,48.752627306875915
Pass2022,LP 876-10,6623351805412369408,342.0203381724408,-24.369627417603155,331.60870305798755,-183.8049429101332,0.318,0.2195034959310978,0.0346418366547723,0.04615537609692,fgk_companion,130.27065669284806,0.0324905216693878,3.01472282409668,3.01472282409668,,1.2056622505187988,1.0,11.129232,FGKM,22480446-2422075,7.206,0.021,0.0,0.0,7.206,7.780233012119584,False,0.1974411449012159,0.0047519521073118,0.0047878215756343,209.93321431137537,0.0015147674513683,34.31410411441301
Pass2022,LSPM J0849+0329W,581103581886377728,132.25872745771025,3.4966575622998417,-150.44622774244263,58.37533513431821,4.4,4.030931383166562,0.5040781490325195,0.5323713301024009,fgk_companion,32.95005143827675,0.0198602024465799,2.915384292602539,2.915384292602539,,1.083454728126526,0.0,13.747092,FGKM,08490225+0329470,9.911,0.023,0.0,0.0,9.911,7.500280484535168,False,0.2265145577405705,0.0055408111372973,0.0056189407772818,206.83015050721073,0.0212734941651875,39.62005145130544
Pass2022,G 232-62,2005804153064109056,334.01245712699904,54.66681023756337,210.82870238916124,67.43128193875114,59.0,0.4280864992648809,0.1795928377906606,0.1989564622382175,fgk_companion,45.62526269464586,0.0202824622392654,2.851559638977051,2.851559638977051,0.0,1.2321561574935913,1.0,12.732375,FGKM,22160258+5439594,8.934,0.02,0.0,0.0,8.934,7.230026889953525,False,0.258583169029083,0.0061483473809414,0.0062605077444795,221.20490551728648,0.2667210289122152,44.00142546859846
Pass2022,2MASS J22562702+7600101,2281128259862424064,344.11334050171035,76.0026790371143,34.51529999091444,-36.94288902465664,2.51,2.339856314727224,0.1925604294548888,0.1856144321509414,fgk_companion,40.76475958854913,0.0135673526674509,2.960723876953125,2.960723876953125,0.0,1.2299580574035645,1.0,13.652215,FGKM,22562702+7600101,9.774,0.021,0.0,0.0,9.774,7.825424427011226,False,0.1931291343158976,0.0046479913597773,0.0046879178194678,211.08452113765537,0.0118909713818529,33.47002804233695
Pass2022,2MASS J05363846+1117487,3339914973377653760,84.16024229906046,11.296613294698856,-3.323155056201282,-60.83845263810206,5.3,0.2153541043134414,0.0507449233396375,0.0477818421262945,fgk_companion,87.34527041122139,0.033754501491785,2.813897132873535,2.813897132873535,,1.226538896560669,1.0,11.196607,FGKM,05363846+1117487,7.406,0.026,0.0,0.0,7.406,7.1121969684654776,False,0.2737951024025049,0.0068913287936096,0.0069703767194479,228.0236546519228,0.0232432025883035,46.07975586574223
Pass2022,LHS 2928,6272325816233230336,217.5723222623353,-24.05622544251334,-510.0098351093336,-377.7703720058374,126.233,5.9,,,wd_companion,30.92889031977888,0.1087961643934249,2.8938770294189453,2.8938770294189453,,5.506028652191162,1.0,13.776616,WDM,14301798-2403159,9.917,0.023,0.0,0.0,9.917,7.368821692378971,False,0.2416181709854361,0.0059701478304507,0.0060643709008314,213.60034514422173,0.5909775094921697,41.6835826108852
Engle2023,L266-195,5932005595773302784,246.75929643997816,-54.1971535373912,19.54009892405756,65.96548374111288,23.19,2.5,0.93,1.82,wd_companion,21.820557574295005,0.014829127,1.6948318,,,0.7969157,0.0,10.955764,,16270219-5411507,8.177,0.017,0.0,0.0,8.177,4.871329218966871,False,0.6205757995430474,0.0149891068905041,0.0151444126496477,41.59945044465079,0.5574592873733977,2.291302604634805
