source_paper,star_name,source_id,ra,dec,pmra,pmdec,prot_days,age_gyr,age_err_lo_gyr,age_err_hi_gyr,age_method,parallax,parallax_error,bp_rp,bp_rp_0,ebpminrp_gspphot,ruwe,high_ruwe,phot_g_mean_mag,binary_type,twomass_id,k_m,k_cmsig,A_Ks,A_Ks_err,k_m_0,M_Ks,flag_outside_mann_range,mass_msun,mass_msun_err_lo,mass_msun_err_hi,tau_ce_days,rossby_number,tau_ce_err_days,log_prot,log_age_myr,log_mass_msun,log_tau_ce,log_tau_ce_err,log_mass_err_lo,log_mass_err_hi,log_age_err_lo,log_age_err_hi,cluster_name,p16,p50,p84,inferred_age_gyr,residual_dex,fold
Pass2022,G 271-110,2478001486169801216,24.23068061742952,-6.794333571507654,173.89301818462508,-99.90145357695324,1.06,0.2707775239351335,0.1279029478106313,0.1875791967498066,fgk_companion,41.69892726044635,0.0445653051137924,2.8796167373657227,2.8796167373657227,,1.708186149597168,1.0,12.708993,FGKM,01365516-0647379,8.862,0.021,0.0,0.0,8.862,6.962624412655208,False,0.2940882755775239,0.0070697809412769,0.0071334150162046,237.1200695276251,0.0044703090805922,48.8523106507792,0.02530586526477026,2.4326126126126124,-0.5315222891735902,2.374968313641759,1.6888851101049547,-2.1505940427050163,-2.1467025083493754,2.1068805538855186,2.273184671794967,Pass2022,0.6414502719946912,1.784742245283317,2.8583352132951627,0.060917524310188216,-0.6478703673292954,0
Pass2022,G 232-62,2005804153064109056,334.01245712699904,54.66681023756337,210.82870238916124,67.43128193875114,59.0,0.4280864992648809,0.1795928377906606,0.1989564622382175,fgk_companion,45.62526269464586,0.0202824622392654,2.851559638977051,2.851559638977051,0.0,1.2321561574935913,1.0,12.732375,FGKM,22160258+5439594,8.934,0.02,0.0,0.0,8.934,7.230026889953525,False,0.258583169029083,0.0061483473809414,0.0062605077444795,221.20490551728648,0.2667210289122152,44.00142546859846,1.7708520116421442,2.631531531531531,-0.5873997464149329,2.3447947538056515,1.6434667461025192,-2.2112416028892827,-2.203390442878482,2.2542890128991173,2.298758049885118,Pass2022,3.3999653203600486,3.6413349391926593,3.823075595151169,4.3785966372809835,1.0098034076611282,0
Engle2023,2MASS J23095781+5506472,1996725077535282944,347.4942602443266,55.11334934475551,409.0668851208582,42.478462401165714,104.1,5.47,0.26,0.61,wd_companion,60.92132302167948,0.0270537957549095,3.527838706970215,3.5264387070201337,0.0013999999500811,1.1729120016098022,0.0,13.98619270324707,,23095781+5506472,9.601,0.015,0.0,0.0,9.601,8.524846631459859,False,0.1395976334442455,0.0032177235184408,0.0032457420364735,214.59,0.4851111421781071,30.9,2.017450729510536,3.737987326333431,-0.8551219441112609,2.3316094797640927,1.4899584794248346,-2.4924512752071672,-2.4886859997864326,2.4149733479708178,2.785329835010767,Engle2023,3.667020843436547,3.7674157144451765,3.9128355175929506,5.853501236688092,0.02942838811174564,0
Engle2023,LP 906-23,5402903764121956352,170.83997871620534,-32.38324719419744,-228.3082956698228,40.81083408736024,78.3,4.86,1.57,4.41,wd_companion,10.84782568856653,0.038403213,2.805872,,,1.1790636,0.0,15.117716,,11232190-3223003,11.297,0.023,0.0011397995646235,5.845317405758672e-05,11.295860200435378,6.472573690396414,False,0.3672389029138593,0.0089060884949179,0.0090335528671711,152.0148268345494,0.5150813353569814,16.35993333191118,1.8937617620579434,3.6866362692622934,-0.43505131868567276,2.1818859491184104,1.2137815295527805,-2.050312993837226,-2.04414140947155,3.1958996524092336,3.6444385894678386,Engle2023,3.8172682330201853,3.9161756034800637,4.024580061093668,8.244714160092533,0.22953933421777029,0
Engle2023,LHS 3382,2269520028411874816,275.47022281263065,77.1619812397175,-21.6354201728922,819.3089185338499,169.2,11.5,1.5,1.0,kinematics,11.64912638936515,0.03943265,2.1165981,,,1.0562376,0.0,16.21729,,18215294+7709303,13.197,0.037,0.0017143120194347,8.791428555148045e-05,13.195285687980563,8.526752474231033,False,0.139470215133084,0.0037817718266537,0.0038745036071445,214.59,0.7884803578917936,30.9,2.228400358703005,4.060697840353612,-0.8555185291966325,2.3316094797640927,1.4899584794248346,-2.42230467787453,-2.4117839304447086,3.1760912590556813,3.0,Engle2023,3.985109654520982,4.06793011064889,4.119126783178846,11.693112030952587,0.007232270295277843,0
Engle2023,LP 498-25,3738752852026812928,204.7877468854365,12.156739432061372,122.24208464069316,-133.2449407745248,49.0,3.8,1.58,0.7,wd_companion,19.279788020346192,0.023063565,2.3803825,,,1.2225158,1.0,13.015613,,13390890+1209265,9.607,0.018,0.0,0.0,9.607,6.032511272808119,False,0.4386512318476226,0.010163070774835,0.0102837293683655,80.0476625062851,0.6121353012169801,5.851859601904717,1.6901960800285136,3.57978359661681,-0.35788064669097885,1.9033486544883764,0.7672938979642965,-1.9929750500177699,-1.98784936098406,3.1986570869544226,2.845098040014257,Engle2023,3.5640860024152023,3.7025205284867404,3.8346390940967128,5.041044468446932,0.12273693186993029,0
Engle2023,G111-72,908364387441657600,125.01659129695626,38.57694746083617,-181.91045107088627,-256.6081431554214,38.96,3.64,0.68,1.35,wd_companion,22.52434660109524,0.018565306,2.1550112,2.1548111,0.0002,1.3057456,1.0,12.280472,,08200425+3834415,9.059,0.016,0.0,0.0,9.059,5.822261007877117,False,0.4732298656022023,0.0108777294913321,0.0110028024984898,74.08284818362011,0.5258977071647489,5.419626679972471,1.590618948206578,3.561101383649056,-0.32492785479443986,1.8697176708478993,0.733969372071258,-1.9634617454732768,-1.958496682604238,2.832508912706236,3.130333768495006,Engle2023,3.4871537353751973,3.6339955511456683,3.778939635684413,4.305222002575365,0.07289416749661237,0
Engle2023,LP 587-54,2485305370114328576,20.81637020647648,-2.145728135802783,233.95583014880245,37.65201503804685,59.5,6.34,1.38,1.49,wd_companion,23.15136954730829,0.03186558,2.1909456,,,1.5598187,1.0,11.71621,,01231565-0208453,8.412,0.019,0.0,0.0,8.412,5.234883436650138,False,0.5667651729717211,0.0136701417381885,0.0137981688489496,53.4285174706401,1.1136374883075555,3.54927096760709,1.7745169657285496,3.802089257881733,-0.24659684447063437,1.7277731235886147,0.5501391566438211,-1.8642269824479774,-1.8601785448714931,3.1398790864012365,3.173186268412274,Engle2023,3.7858969915042398,3.9174840758207186,4.027725155605791,8.269591860832694,0.11539481793898565,0
Engle2023,G148-6,4021566209266336768,176.4823529618982,31.82410244585442,-165.4478216855959,-260.0135252445386,22.7,2.2,0.57,1.35,wd_companion,31.63887765400161,0.3642143,2.692481,,,18.951975,1.0,12.808223,,11455599+3149316,9.141,0.019,0.0,0.0,9.141,6.642105345474715,False,0.340878303400091,0.0088329744562479,0.0089779344636063,186.4187042749562,0.1217688970014451,29.415020241104923,1.3560258571931227,3.342422680822206,-0.4674006403477701,2.2704894850344326,1.4685691515708952,-2.053893025481426,-2.0468235691502303,2.7558748556724915,3.130333768495006,Engle2023,2.86609018262365,3.1770002867836573,3.4596811130800114,1.5031429586807892,-0.16542239403854886,0
Mamonova2025,2MASS J00281434-3227556,2315849737553379840,7.06038555329,-32.46564843528,,,0.522,0.024,0.003,0.003,association,28.564846889620707,0.0239,3.3132763,,,1.2196525,True,,,00281434-3227556,9.278,0.021,0.0,0.0,9.278,6.557159502709068,False,0.3539978246647809,0.0084202317180423,0.0085299988083841,169.2960890843778,0.0030833553381131,22.91757733476725,-0.28232949699773785,1.380211241711606,-0.4509994067284061,2.2286469255708834,1.3601687055400022,-2.0746759568991116,-2.0690510295021425,0.47712125471966244,0.47712125471966244,Mamonova2025,0.6250665541969187,1.6271490184337756,2.2944449716076596,0.042378835459597454,0.24693777672216966,0
