,config,hidden,batch_size,mean_test_ll,ll_std,median_residual,median_precision
1,baseline_b16,"(64, 64)",16,-0.351744681596756,0.00489065256554836,-0.2818659869358935,1.8573400051004136
2,2xlayers_b16,"(64, 64, 64, 64)",16,-0.35501799583435056,0.01426868575393271,-0.24785765084543687,1.9022125119420825
3,2xlayers_b32,"(64, 64, 64, 64)",32,-0.35587772727012634,0.010665762242659001,-0.22577104899119105,1.9058659798258404
4,2xwidth_b16,"(128, 128)",16,-0.3580665707588196,0.008377997060605899,-0.24734567627669102,1.913033561194732
5,2xwidth_b128,"(128, 128)",128,-0.3622307419776917,0.017843863733364742,-0.24262661340145986,1.8754553712102258
6,baseline_b32,"(64, 64)",32,-0.36288327574729917,0.009230002661768677,-0.2624991635651506,1.8594766132179639
7,baseline_b64,"(64, 64)",64,-0.363381153345108,0.023212338411714422,-0.2325921321207325,1.857788918764925
8,2xwidth_b32,"(128, 128)",32,-0.3654457628726959,0.009489864090440578,-0.2540308236110047,1.8740906865901685
9,baseline_b128,"(64, 64)",128,-0.3655691146850586,0.014073465432363695,-0.22999249791221965,1.8811967079972765
10,2xlayers_b64,"(64, 64, 64, 64)",64,-0.36627147197723386,0.014480488630624132,-0.23440994319188646,1.8764457158615213
11,2xlayers_b128,"(64, 64, 64, 64)",128,-0.3669996798038483,0.017088361032566075,-0.22539012646473378,1.9245108103683959
12,2xwidth_b64,"(128, 128)",64,-0.376381927728653,0.016786254125740252,-0.22684999958558505,1.9302845397942838
