cluster,cluster_altname,cl_group,logA,age_Myr,logA_err
Antares,NULL,USco,7.1021,12.65,NULL
APer,Melotte20,APer,7.8327,68,0.115
BSco,NULL,USco,6.8949,7.85,NULL
Collinder135,NULL,Collinder135,7.42,26,NULL
DSco,NULL,USco,7.0065,10.15,NULL
HPer,NGC869,HPer,7.18,15,NULL
Hyades,NULL,Hyades,8.8898,775,0.0144
IC2391,NULL,IC2391,7.5737,37,0.1205
IC2602,NULL,IC2602,7.569,37,0.0276
M34,NGC1039,M34,8.207,161,0.1674
M35,NGC2168,M35,8.2747,188,0.2923
M37,NGC2099,M37,8.65,446,NULL
M50,NGC2323,M50,8.1317,135,0.1628
M67,NGC2682,M67,9.5877,3870,0.044
NGC1647,NULL,NGC1647,8.49,309,0.099
NGC1750,NULL,NGC1750,8.5089,322,0.1038
NGC1758,NULL,NGC1758,8.6402,436,0.1734
NGC1817,NULL,NGC1817,9.1049,1273,0.0777
NGC2281,NULL,NGC2281,8.7845,608,0.0078
NGC2451A,NULL,NGC2451A,7.659,45,0.1155
NGC2516,NULL,NGC2516,8.42,263,0.0529
NGC2547,NULL,NGC2547,7.514,32,0.0841
NGC2548,NULL,NGC2548,8.665,462,0.1061
NGC3532,NULL,NGC3532,8.6003,398,0.0006
NGC6811,NULL,NGC6811,9.0019,1004,0.0573
NGC6819,NULL,NGC6819,9.3637,2310,0.0705
NGC6866,NULL,NGC6866,8.8666,735,0.0493
NGC752,NULL,NGC752,9.11,1288,0.0566
NSco,NULL,USco,6.7782,6,NULL
Pleiades,Melotte22,Pleiades,7.9892,97,0.0918
Praesepe,NGC2632,Praesepe,8.8562,718,0.0205
ROph_L1688,NULL,USco,6.5682,3.7,NULL
RSco,NULL,USco,7.1367,13.7,NULL
Ruprecht147,NGC6774,Ruprecht147,9.39,2454,0.1273
ScoBody,NULL,USco,7.1569,14.35,NULL
SSco,NULL,USco,7.0107,10.25,NULL
Taurus_C1,NULL,Taurus,6.238,1.73,NULL
Taurus_C5,NULL,Taurus,6.3032,2.01,NULL
Taurus_C6,NULL,Taurus,6.1959,1.57,NULL
Taurus_C7,NULL,Taurus,6.4133,2.59,NULL
Taurus_D1,NULL,Taurus,6.5315,3.4,NULL
Taurus_D2,NULL,Taurus,6.5145,3.27,NULL
Taurus_D3,NULL,Taurus,6.7938,6.22,NULL
Taurus_D4,NULL,Taurus,6.3962,2.49,NULL
Taurus_D5,NULL,Taurus,7.247,17.66,NULL
USco_fg,NULL,USco,7.273,18.75,NULL
