source_paper,star_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,age_method,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,ebpminrp_gspphot,g_rp,bp_rp_0,ruwe_flag
Engle_2023,L266-195,2.5,0.93,1.82,23.19,wd_companion,5.932005595773303e+18,246.75929643997816,-54.1971535373912,21.820557574295005,0.014829127,19.54009892405756,65.96548374111288,10.955764,11.769478,10.074646,1.6948318,0.7969157,,0.8811178,,False
Engle_2023,40 Eri C,4.89,2.71,4.81,81.0,wd_companion,3.195919254111315e+18,63.82965602087436,-7.670903382610344,199.4516185973888,0.0692062452435493,-2247.1829426127065,-3409.8237087898747,9.775308609008787,11.490884780883787,8.501209259033203,2.989675521850586,1.5311920642852783,,1.274099349975586,,True
Engle_2023,G201-40,5.16,2.87,3.77,77.6,wd_companion,1.6008821998293384e+18,227.9715095500628,56.41314630588021,17.41767670563224,0.018178198,-222.7103795032225,-294.7398254036402,14.626679,16.048891,13.456678,2.5922127,1.2193037,,1.170001,,True
Engle_2023,Proxima Cen,5.3,0.7,0.7,86.4,system_age,5.853498713190526e+18,217.39232147200883,-62.67607511676666,768.0665391873573,0.049872905,-3781.741008265163,769.4650146478623,8.984749,11.373116,7.5685353,3.8045802,0.97145325,,1.4162135,,False
Engle_2023,G87-28,5.42,1.45,1.7,91.1,wd_companion,9.46030529073022e+17,107.55549608697169,37.66831559930888,44.60083534517721,0.4368635,-209.28153394130828,-280.80880855544444,13.232475,14.892705,11.992752,2.899953,33.12374,,1.2397232,,True
Engle_2023,2MASS J23095781+5506472,5.47,0.26,0.61,104.1,wd_companion,1.996725077535283e+18,347.4942602443266,55.11334934475551,60.92132302167948,0.0270537957549095,409.0668851208582,42.478462401165714,13.98619270324707,16.16016387939453,12.632325172424316,3.527838706970215,1.1729120016098022,0.0013999999500811,1.353867530822754,3.5264387070201337,False
Engle_2023,LSPM J1604+3909W,6.9,0.9,0.9,127.9,ms_companion,1.3795009280557268e+18,241.20868366880867,39.16016523606519,69.63745120606852,0.019233797,-562.8536015218508,42.2310012063391,12.854803,14.52069,11.612505,2.908185,1.1453565,,1.2422981,,False
Engle_2023,LHS 229,8.71,0.46,0.56,152.3,wd_companion,9.75968718869126e+17,112.67690130725812,48.19395397764997,88.7231202625499,0.029806500300765,-201.28231349716827,-1272.162430366848,12.116490364074709,13.821537017822266,10.863542556762695,2.9579944610595703,1.356261134147644,,1.2529478073120115,,True
Engle_2023,GJ 299,9.5,1.5,1.5,156.9,kinematics,3.098328182579892e+18,122.99468256110134,8.750401522062495,147.72184850183513,0.094956644,1069.811738087307,-5094.220103378359,11.397289,13.130089,10.137975,2.992114,2.0968676,,1.2593145,,True
Engle_2023,LP 906-23,4.86,1.57,4.41,78.3,wd_companion,5.402903764121956e+18,170.83997871620534,-32.38324719419744,10.84782568856653,0.038403213,-228.3082956698228,40.81083408736024,15.117716,16.70614,13.900269,2.805872,1.1790636,,1.2174473,,False
