source_paper,star_name,normalized_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,age_method
Engle_2023,L266-195,L266-195,2.5,0.93,1.82,23.19,wd_companion
Engle_2023,LP 856-54,LP 856-54,2.52,0.61,1.58,23.27,wd_companion
Engle_2023,G59-39,G59-39,3.2,0.93,1.96,33.82,wd_companion
Engle_2023,LP 775-52,LP 775-52,3.39,0.2,0.29,36.9,wd_companion
Engle_2023,GJ 2131 A,GJ 2131 A,3.47,1.69,1.69,34.82,wd_companion
Engle_2023,G111-72,G111-72,3.64,0.68,1.35,38.96,wd_companion
Engle_2023,HIP 43232 B,HIP 43232 B,3.95,0.35,0.35,41.3,ms_companion
Engle_2023,LP 587-54,LP 587-54,6.34,1.38,1.49,59.5,wd_companion
Engle_2023,GJ 366,GJ 366,9.5,1.5,1.5,87.1,kinematics
Engle_2023,GJ 328,GJ 328,9.5,1.5,1.5,80.5,kinematics
Engle_2023,GJ 821,GJ 821,9.5,1.5,1.5,86.2,kinematics
Engle_2023,LP 552-48,LP 552-48,9.88,2.06,1.78,83.2,wd_companion
Engle_2023,LHS 343,LHS 343,11.5,1.5,1.0,89.2,kinematics
Engle_2023,LHS 173,LHS 173,11.5,1.5,1.0,85.3,kinematics
Engle_2023,LHS 174,LHS 174,11.5,1.5,1.0,90.4,kinematics
Engle_2023,NSV 11919,NSV 11919,1.97,0.35,0.98,21.07,wd_companion
Engle_2023,Gaia DR3 75525a,Gaia DR3 75525a,1.98,0.39,1.01,20.6,wd_companion
Engle_2023,G148-6,G148-6,2.2,0.57,1.35,22.7,wd_companion
Engle_2023,LP 783-2,LP 783-2,3.12,0.56,1.73,25.45,wd_companion
Engle_2023,G130-6,G130-6,3.6,1.73,1.84,49.5,wd_companion
Engle_2023,LP 498-25,LP 498-25,3.8,1.58,0.7,49.0,wd_companion
Engle_2023,LHS 353,LHS 353,4.42,1.52,2.13,61.2,wd_companion
Engle_2023,LP 906-23,LP 906-23,4.86,1.57,4.41,78.3,wd_companion
Engle_2023,40 Eri C,40 Eri C,4.89,2.71,4.81,81.0,wd_companion
Engle_2023,G201-40,G201-40,5.16,2.87,3.77,77.6,wd_companion
Engle_2023,Proxima Cen,Proxima Cen,5.3,0.7,0.7,86.4,system_age
Engle_2023,G87-28,G87-28,5.42,1.45,1.7,91.1,wd_companion
Engle_2023,2MASS J23095781+5506472,2MASS J23095781+5506472,5.47,0.26,0.61,104.1,wd_companion
Engle_2023,LSPM J1604+3909W,LSPM J1604+3909W,6.9,0.9,0.9,127.9,ms_companion
Engle_2023,LHS 229,LHS 229,8.71,0.46,0.56,152.3,wd_companion
Engle_2023,GJ 299,GJ 299,9.5,1.5,1.5,156.9,kinematics
Engle_2023,GJ 213,GJ 213,9.5,1.5,1.5,158.6,kinematics
Engle_2023,GJ 157.1,GJ 157.1,9.5,1.5,1.5,142.7,kinematics
Engle_2023,Barnard's Star (GJ 699),Barnard's Star,9.5,1.5,1.5,149.1,kinematics
Engle_2023,GJ 273,GJ 273,9.5,1.5,1.5,157.3,kinematics
Engle_2023,GJ 581,GJ 581,9.5,1.5,1.5,148.1,kinematics
Engle_2023,LHS 1802,LHS 1802,9.97,2.39,1.98,150.4,wd_companion
Engle_2023,LHS 182,LHS 182,11.5,1.5,1.0,161.4,kinematics
Engle_2023,GJ 1062,GJ 1062,11.5,1.5,1.0,159.5,kinematics
Engle_2023,LHS 3382,LHS 3382,11.5,1.5,1.0,169.2,kinematics
Engle_2023,LHS 216,LHS 216,11.5,1.5,1.0,174.4,kinematics
Engle_2023,Kapteyn's Star (GJ 191),Kapteyn's Star,11.5,1.5,1.0,153.2,kinematics
Engle_2024,1RXS J041330.7+251052,1RXS J041330.7+251052,0.1241652307592411,0.010402502176898,0.0113537104758625,2.22,gyro_e23
Engle_2024,EPIC 201909533,EPIC 201909533,0.1256029963694875,0.0105229574750439,0.0114851802469978,2.29,gyro_e23
Engle_2024,1RXS J030708.3+323528,1RXS J030708.3+323528,0.1264736347471151,0.0105958991316025,0.0115647917131733,2.35,gyro_e23
Engle_2024,EPIC 210651981,EPIC 210651981,0.1282330582656021,0.0107433027716491,0.0117256739916596,2.44,gyro_e23
Engle_2024,1RXS J231233.3+391140,1RXS J231233.3+391140,0.1288249551693134,0.0107928916041404,0.011779797243678,2.47,gyro_e23
Engle_2024,GSC 03517-00212,GSC 03517-00212,0.1312199899019203,0.0112700595869824,0.0123289534334452,2.61,gyro_e23
Engle_2024,UCAC4 630-046962,UCAC4 630-046962,0.1327394457729739,0.0114005607264762,0.0124717159858002,2.69,gyro_e23
Engle_2024,CK Tri,CK Tri,0.1336595516546442,0.011479585638157,0.0125581657910276,2.73,gyro_e23
Engle_2024,LP 152-39,LP 152-39,0.1348962882591653,0.0115858049362744,0.012674365068424,2.79,gyro_e23
Engle_2024,DT Vir (GJ 494),DT Vir,0.1367728825595849,0.0117469795378129,0.0128506830498584,2.89,gyro_e23
Engle_2024,UCAC4 587-034710,UCAC4 587-034710,0.1399587322572618,0.0120206018415093,0.0131500139109412,3.05,gyro_e23
Engle_2024,UCAC4 681-049380,UCAC4 681-049380,0.1432187899273543,0.0123005976274136,0.0134563170834605,3.22,gyro_e23
Engle_2024,1RXS J085922.2+403351,1RXS J085922.2+403351,0.1438798578255845,0.0123573746063607,0.0135184286210374,3.25,gyro_e23
Engle_2024,OT Ser (GJ 9520),OT Ser,0.1465547840955911,0.0125871153529976,0.013769754973413,3.37,gyro_e23
Engle_2024,HAT 169-07364,HAT 169-07364,0.1475706533275894,0.012674365068424,0.0138652023550591,3.42,gyro_e23
Engle_2024,PM J23045+4014,PM J23045+4014,0.1503141966090022,0.0129099991077507,0.0141229757124909,3.56,gyro_e23
Engle_2024,EPIC 206349327,EPIC 206349327,0.1538154640303035,0.0132107116173121,0.0144519420767432,3.72,gyro_e23
Engle_2024,G 80-21,G 80-21,0.1573982864466219,0.0135184286210374,0.0147885710519787,3.88,gyro_e23
Engle_2024,G 173-18,G 173-18,0.1629296032639722,0.0139934954928807,0.0153082734808367,4.12,gyro_e23
Engle_2024,FK Aqr (GJ 867A),FK Aqr,0.1655769963469528,0.014220871503332,0.0155570129150074,4.23,gyro_e23
Engle_2024,2MASS J05071824+5307115,2MASS J05071824+5307115,0.1655769963469528,0.014220871503332,0.0155570129150074,4.23,gyro_e23
Engle_2024,HAT 222-10112,HAT 222-10112,0.1790605854035294,0.015755390614096,0.0172754422800752,4.77,gyro_e23
Engle_2024,2MASS J04160235+3325301,2MASS J04160235+3325301,0.1790605854035294,0.015755390614096,0.0172754422800752,4.77,gyro_e23
Engle_2024,BD-17 6768,BD-17 6768,0.1803017740859569,0.0158646017644637,0.0173951899252291,4.83,gyro_e23
