source_paper,star_name,normalized_name,age_gyr,age_err_lo_gyr,age_err_hi_gyr,prot_days,query_name,simbad_found,simbad_main_id,simbad_ra_deg,simbad_dec_deg,simbad_ids,simbad_status,gaia_dr3_source_id_from_simbad,source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe,ebpminrp_gspphot,g_rp,bp_rp_0,ruwe_flag
Engle_2023,L266-195,L266-195,2.5,0.93,1.82,23.19,L266-195,True,L  266-195,246.75914798268,-54.19744672302001,TIC 220978213|Gaia DR3 5932005595773303040|TYC 8712-1589-1|2MASS J16270219-5411507|L  266-195|UCAC4 180-169461|PM J16270-5411|Gaia DR1 5932005591383455872|Gaia DR2 5932005595773303040,ok,5.932005595773303e+18,5.932005595773303e+18,246.75929643997816,-54.1971535373912,21.820557574295005,0.014829127,19.54009892405756,65.96548374111288,10.955764,11.769478,10.074646,1.6948318,0.7969157,,0.8811178,,False
Engle_2023,LP 856-54,LP 856-54,2.52,0.61,1.58,23.27,LP 856-54,True,L  619-49,207.84678749431,-27.56456686578,TIC 72511761|Gaia DR3 6177238671977087360|CCDM J13514-2734A|IDS 13457-2704 A|LP  856-54|WDS J13513-2734A|2MASS J13512321-2733519|RAVE J135123.1-273351|USNO-B1.0 0624-00405344|** LDS  855A|WISEA J135123.28-273354.4|PM J13513-2733|UCAC4 313-074611|LTT  5381|Gaia DR2 6177238671977087360|L  619-49|NLTT 35441,ok,6.177238671977087e+18,6.177238671977087e+18,207.84714554547432,-27.56544382050014,26.680999777856275,0.01839942,71.41615057467749,-197.3124498723812,11.630171,12.732745,10.58804,2.1447048,1.126384,,1.0421305,,False
Engle_2023,G59-39,G59-39,3.2,0.93,1.96,33.82,G59-39,True,G  59-39,191.8059598067412,14.703900240710556,TIC 92043862|Gaia DR3 3930922058356114432|ASCC  954554|LSPM J1247+1442W|USNO-B1.0 1047-00215863|G  59-39|G  61-16|GEN# +9.80061016|LTT 18244|NLTT 31888|2MASS J12471348+1442137|WDS J12472+1442A|** GIC  109A|WISEA J124713.16+144215.6|Gaia DR2 3930922058356114432,ok,3.9309220583561134e+18,3.9309220583561134e+18,191.80432988339743,14.70456384640075,16.49849612789839,0.021312071,-354.72242963953374,149.3099996312833,12.7773905,13.775156,11.7843075,1.9908485,1.2233597,,0.993083,,True
Engle_2023,LP 775-52,LP 775-52,3.39,0.2,0.29,36.9,LP 775-52,True,LP  775-52,65.43105135686125,-16.000156796355554,TIC 71011069|Gaia DR3 3175193288128400768|2MASS J04214344-1600003|LP  775-52|NLTT 13109|WDS J04216-1559A|UCAC3 148-11083|USNO-B1.0 0739-00042823|DENIS J042143.4-160000|** LDS 9169A|WISEA J042143.64-160002.3|PM J04217-1600N|UCAC4 370-005440|Gaia DR2 3175193288128400768,ok,3.175193288128401e+18,3.175193288128401e+18,65.4322879086024,-16.000920048778102,21.3554414317908,0.029057447,267.44587033423124,-171.73070557909446,11.713509,12.747372,10.687969,2.0594025,2.0176597,,1.0255394,,True
Engle_2023,GJ 2131 A,GJ 2131 A,3.47,1.69,1.69,34.82,GJ 2131 A,True,G 154-B5A,266.47229612725994,-13.30620519919,TIC 419437827|WISE J174553.39-131821.3|Gaia DR1 4149820284980989184|HIP 86938|Gaia DR3 4149820284980989184|TYC 5673-297-1|UCAC4 384-088814|PM J17458-1318|CSI-13-17431  1|G 154-B5A|HIC  86938|UBV   15076|2MASS J17455334-1318223|WDS J17459-1318A|** SKF  306A|GJ 2131 A|Gaia DR2 4149820284980989184,ok,4.149820284980989e+18,4.149820284980989e+18,266.4725484874863,-13.305792976227098,25.77943179786204,0.0309294052422046,55.256704877381786,92.75019370374528,11.218145370483398,12.150940895080566,10.262255668640137,1.8886852264404297,1.4233086109161377,,0.9558897018432616,,True
Engle_2023,G111-72,G111-72,3.64,0.68,1.35,38.96,G111-72,True,G 111-72,125.01762549148792,38.578087936922216,TIC 18783116|Gaia DR3 908364387441657472|AP J08200425+3834415|USNO-B1.0 1285-00177095|CCDM J08201+3835A|CSI+38-08168|G 111-72|GEN# +9.80111072|IDS 08135+3853 A|NLTT 19314|UBV    7966|USNO 310|2MASS J08200425+3834415|LSPM J0820+3834E|WDS J08201+3834A|** GIC   80A|WISEA J082004.06+383438.3|PM J08200+3834E|UCAC4 643-045242|Gaia DR2 908364387441657472,ok,9.083643874416576e+17,9.083643874416576e+17,125.01659129695626,38.57694746083617,22.52434660109524,0.018565306,-181.91045107088627,-256.6081431554214,12.280472,13.390044,11.235033,2.1550112,1.3057456,0.0002,1.0454388,2.1548111,True
Engle_2023,HIP 43232 B,HIP 43232 B,3.95,0.35,0.35,41.3,HIP 43232 B,True,UCAC3 222-97968,132.1038347611496,20.705234770251387,Gaia DR3 661794060190112000|UCAC3 222-97968|UCAC4 554-043601|2MASS J08482492+2042188|SDSS J084824.90+204218.5|PSO J132.1036+20.7050|UGCS J084824.89+204218.5|HIP 43232B,ok,6.61794060190112e+17,6.61794060190112e+17,132.10361650906583,20.705080361504653,13.60968072696216,0.018508242,-45.93470560864445,-34.74176155758028,13.873146,15.085483,12.779844,2.3056383,1.1696215,0.1312,1.0933018,2.1744382,False
Engle_2023,LP 587-54,LP 587-54,6.34,1.38,1.49,59.5,LP 587-54,True,G 271-52,20.81532966749,-2.1458954786400004,TIC 248949078|Gaia DR3 2485305370114328576|2MASS J01231565-0208453|LP  587-54|NLTT  4616|G 271-52|LTT   762|WDS J01233-0209A|UCAC2  30940289|UCAC3 176-3874|USNO-B1.0 0878-00026465|** LDS 3271A|WISEA J012315.83-020844.8|PM J01232-0208|UCAC4 440-001737|Gaia DR2 2485305370114328576,ok,2.4853053701143286e+18,2.4853053701143286e+18,20.81637020647648,-2.145728135802783,23.15136954730829,0.03186558,233.95583014880245,37.65201503804685,11.71621,12.845122,10.654177,2.1909456,1.5598187,,1.0620337,,True
Engle_2023,GJ 366,GJ 366,9.5,1.5,1.5,87.1,GJ 366,True,BD+76  3952,146.7020252337433,76.04391682018667,TIC 219431676|Karmn J09468+760|GJ 366|HIP 47981|Gaia DR3 1130450270073924608|CNS5 2420|PLX 2302|LSPM J0946+7602|ASCC   30041|AC +76  3952|AC +76  3952-0|CSI+76-09423|CSI+76-09417|Ci 20  545|G 252-44|G 253-30|GCRV 60845|GEN# +9.80252044|HIC  47981|LFT  679|LHS  2188|LTT 12585|MCC 120|NLTT 22468|PM 09417+7617|Ross  434|TYC 4542-2612-1|VVO 134|[RHG95]  1537|2MASS J09464844+7602388|USNO-B1.0 1660-00055540|PLX 2302.00|BD+76  3952|GCRV  3533 E|UCAC4 831-011894|PM J09468+7602|Gaia DR1 1130450270073924608|WEB  8978|Gaia DR2 1130450270073924608,ok,1.1304502700739246e+18,1.1304502700739246e+18,146.70363523803653,76.03947042549247,63.325063023847214,0.01529024,87.3667512611242,-1000.440301995851,9.792734,10.867223,8.757159,2.1100636,1.0442513,,1.0355749,,False
Engle_2023,GJ 328,GJ 328,9.5,1.5,1.5,80.5,GJ 328,True,BD+02  2098,133.78175719021206,1.546504206455278,TIC 265373654|StKM 2-525|HIP 43790|Gaia DR3 577602496345490176|CNS5 2193|TYC  213-177-1|MCC 537|NLTT 20528|PLX 2132|LSPM J0855+0132|ASCC 1129525|USNO-B1.0 0915-00172739|BD+02  2098|Ci 20  498|G  46-9|G 114-21|GCRV  5861|GEN# +0.00202098|HIC  43790|LFT  616|LHS   255|LTT 12331|GJ 328|PM 08526+0145|Ross  623|[RHG95]  1391|2MASS J08550761+0132472|PLX 2132.00|WISEA J085507.65+013236.5|GCRV 26251|UCAC4 458-045779|PM J08551+0132|Gaia DR1 577602492050137088|WEB  8422|Gaia DR2 577602496345490176,ok,5.776024963454902e+17,5.776024963454902e+17,133.78195701408768,1.5418558693942337,48.74043421971609,0.018374817,44.94399530668833,-1045.8758431663468,9.289488,10.186295,8.353907,1.8323879,1.0623425,0.0005,0.9355812,1.831888,False
