object,source_survey_name,source_survey_id,ref,Prot,e_Prot,ageMyr,e_ageMyr,TIC_ID,GaiaDR2_ID,GaiaDR3_ID,bp_rp,ebpminrp_gspphot,ruwe,parallax,bprp0
2MASS J00125703-7952073,2MASS,00125703-7952073,Mamonova2025,1.97,,45.0,,290496318.0,4.63451597292562e+18,4634515972925619968,2.5500946,0.0149,1.3387355,21.438033669287588,2.5351946
2MASS J00144767-6003477,2MASS,00144767-6003477,Mamonova2025,0.487,,45.0,,425933644.0,4.905813212878537e+18,4905813212878537216,2.82343,0.0,10.291623,23.11720994589449,2.82343
2MASS J00152752-6414545,2MASS,00152752-6414545,Mamonova2025,3.708,,45.0,,355766445.0,4.900372657545e+18,4900372657545000192,2.341236,0.0015,1.1015377,20.96968057647724,2.3397362
2MASS J00155556-6137519,2MASS,00155556-6137519,Mamonova2025,2.633,,45.0,,355767053.0,4.904674604163918e+18,4904674604163917696,2.7111025,,1.1905901,18.20790779337616,
2MASS J00172353-6645124,2MASS,00172353-6645124,Mamonova2025,6.575,,24.0,,394137224.0,4.707563810327288e+18,4707563810327288192,2.476882,,0.9501123,27.15664972613236,
2MASS J00235732-5531435,2MASS,00235732-5531435,Mamonova2025,0.651,,45.0,,281461138.0,4.920061410401734e+18,4920061410401733632,3.3166113,,1.3542836,24.03124381803308,
2MASS J00240376+2626299,2MASS,J00240376+2626299,LWRD,29.84,0.3,3097.0,242.0,437762482.0,2.8557431726583675e+18,2855743172658367360,2.9504957,,12.394174,26.037556802745428,
2MASS J00273330-6157169,2MASS,00273330-6157169,Mamonova2025,0.55,,45.0,,231910539.0,4.901934140151067e+18,4901934140151066624,3.0005732,,1.4242332,23.05053361054482,
2MASS J00275023-3233060,2MASS,00275023-3233060,Mamonova2025,4.902,,45.0,,251845153.0,2.315841869173294e+18,2315841869173294080,2.6841574,,1.8057306,28.54764582026202,
2MASS J00281434-3227556,2MASS,00281434-3227556,Mamonova2025,0.522,,24.0,,251846450.0,2.31584973755338e+18,2315849737553379840,3.3132763,,1.2196525,28.564846889620707,
2MASS J00284683-6751446,2MASS,00284683-6751446,Mamonova2025,0.6,,45.0,,38820496.0,4.703815338965473e+18,4703815338965472768,3.3683004,0.0002,1.0783511,22.66799174107081,3.3681004
