"moca_oid","GaiaDR3_ID","twomass_id","moca_aid","moca_mtid","designation","ra","dec","spectral_type","banyan_prob","gmag","rmag","bmag","parallax_mas","prot_days","age_string_myr","age_myr","age_myr_unc","age_myr_unc_pos","age_myr_unc_neg"
254875,2993303106774038016,"06150934-1501293","ABDMG","CM","Gaia DR2 2993303106774038016",93.7888904,-15.0250588,"(M0.2)",94.2004,12.611,11.61,13.623,15.313400268554688,5.2955,"133 +15/-20",133,12.5,15,10
630,306056350151904896,"01472953+3413096","ABDMG","CM","G 133-40",26.8737306,34.2184062,"(M1.0)",,11.448,10.405,12.554,34.2218017578125,33.444801,"133 +15/-20",133,12.5,15,10
169461,63678907415301120,"03522875+2133586","ABDMG","CM","Gaia DR2 63678907415301120",58.1200253,21.5658115,"(M1.1)",99.6208,12.649,11.605,13.744,16.679800033569336,6.865039825439453,"133 +15/-20",133,12.5,15,10
632,519087552675129984,"01480159+6542222","ABDMG","CM","[SLS2012] PYC J01480+6542",27.007549,65.7059527,"(M1.5)",,12.685,11.614,13.839,17.720399856567383,0.5834,"133 +15/-20",133,12.5,15,10
11320,1996094232735807744,"23242041+5442564","ABDMG","CM","[SLS2012] PYC J23243+5442",351.0856372,54.7155694,"(M1.6)",74.593,13.004,11.926,14.181,15.689000129699707,3.8009,"133 +15/-20",133,12.5,15,10
11420,1926214668148933120,"23502462+4455349","ABDMG","CM","[SLS2012] PYC J23504+4455",357.6030401,44.9261297,"(M1.9)",88.2995,13.036,11.94,14.255,16.789600372314453,1.443,"133 +15/-20",133,12.5,15,10
3909,254581201471897216,"04492081+4606424","ABDMG","CM","[SLS2012] PYC J04493+4606",72.3368512,46.1112873,"(M2.2)",95.8073,13.501,12.382,14.774,15.542200088500977,0.9924,"133 +15/-20",133,12.5,15,10
3254,4839371237040134528,"04235771-4308589","ABDMG","CM","2MASS J04235771-4308589",65.9906909,-43.1498726,"(M2.3)",98.6759,12.368,11.24,13.655,25.374300003051758,2.7048,"133 +15/-20",133,12.5,15,10
4597,1114010685750492160,"06065771+7256302","ABDMG","CM","[SLS2012] PYC J06069+7256",91.7404009,72.9413146,"(M2.7)",,13.581,12.424,14.922,10.446100234985352,2.0519,"133 +15/-20",133,12.5,15,10
4713,5194120112463898496,"06381055-8402450","ABDMG","CM","2MASS J06381055-8402450",99.5437756,-84.0456114,"(M2.8)",98.4546,13.483,12.32,14.887,16.06130027770996,2.8232,"133 +15/-20",133,12.5,15,10
11299,6527424264911951616,"23192931-4748116","ABDMG","CM","2MASS J23192931-4748116",349.8727224,-47.8036037,"(M2.8)",99.6638,13.02,11.855,14.414,22.426599502563477,4.2302,"133 +15/-20",133,12.5,15,10
4071,4876536108745448448,"05013373-2931593","ABDMG","CM","WISEA J050133.75-293159.9",75.3906908,-29.5334089,"(M3.0)",99.4561,13.205,12.025,14.651,19.77989959716797,1.3771,"133 +15/-20",133,12.5,15,10
10384,1650434611913105152,"16511435+7106549","ABDMG","CM","[SLS2012] PYC J16512+7106",252.8093281,71.1154722,"(M3.1)",,13.59,12.403,14.867,14.412199974060059,4.5257,"133 +15/-20",133,12.5,15,10
