name,role,binary_type,system_id,mass_msun,prot_days,age_min_gyr,age_c18_gyr,simbad_ra,simbad_dec,simbad_pmra,simbad_pmdec,simbad_parallax,simbad_resolved,ra_j2016,dec_j2016,n_gaia_matches,gaia_source_id,gaia_ra,gaia_dec,gaia_ang_sep_arcsec,gaia_parallax,gaia_parallax_error,gaia_parallax_over_error,gaia_pmra,gaia_pmdec,gaia_phot_g_mean_mag,gaia_bp_rp,gaia_ebpminrp_gspphot,gaia_teff_gspphot,gaia_ruwe,flag_multi_match,flag_high_ruwe,flag_no_ebpminrp,bprp0,elbadr_companion_source_id,sep_AU,R_chance_align,flag_in_elbadr
SCR J1107-3420 B,primary,WDM,SCR J1107-3420 B,0.26,7.611,0.64,1.5,166.95937700000002,-34.350094,64.5609,-279.644,,True,166.95972455299508,-34.3513368617408,1,5401688460176652288,166.9596559883445,-34.35129898487057,0.24519553319735604,,,,,,13.811878204345703,3.1353073120117188,,,,False,False,True,,,,,False
SCR J1107-3420 A,companion,WDM,SCR J1107-3420 B,,,0.64,1.5,166.94957030161,-34.34763518579,39.894,-263.429,38.195,True,166.94978505791943,-34.348805981167175,2,5401688425816913920,166.94978505540067,-34.348805980720506,7.657068358803411e-06,38.1949865948946,0.021067634224891663,1812.9698486328125,39.894088696078256,-263.42881744149383,13.699980735778809,-0.08527088165283203,,,1.0536466836929321,True,False,True,,,,,False
LHS 2928,primary,WDM,LHS 2928,0.25,126.233,5.9,16.9,217.57480453901957,-24.054546443068617,-510.01,-377.77,30.9289,True,217.5723222290432,-24.056225400843605,1,6272325816233230336,217.5723222623353,-24.05622544251334,0.000185690183798575,30.928890319778873,0.10879616439342499,284.2829284667969,-510.0098351093336,-377.7703720058374,13.776616096496582,2.8938770294189453,,,5.506028652191162,False,True,True,,,,,False
LHS 2927,companion,WDM,LHS 2928,,,5.9,16.9,217.56408802406833,-24.057256345466666,-512.385,-389.968,30.7063,True,217.56159410083015,-24.058989516385896,1,6272326022391660544,217.56159413428307,-24.05898955530331,0.00017810609502330845,30.706253163826453,0.10718876123428345,286.4689636230469,-512.385050631768,-389.9676675969756,17.433027267456055,1.1568183898925781,,,1.0461807250976562,False,False,True,,,,,False
2MASS J23095781+5506472,primary,WDM,2MASS J23095781+5506472,0.14,104.1,4.7,5.3,347.4910815551283,55.11316051022055,409.067,42.478,60.9213,True,347.4942602602623,55.11334925996422,1,1996725077535282944,347.4942602443266,55.11334934475551,0.0003070071485441411,60.92132302167948,0.027053795754909515,2251.858642578125,409.0668851208582,42.478462401165714,13.98619270324707,3.527838706970215,0.00139999995008111,2930.619873046875,1.1729120016098022,False,False,False,3.5264387070201337,1.9967250775352832e+18,100.94282498470353,5.6044610834839304e-08,True
2MASS J23095848+5506491,companion,WDM,2MASS J23095781+5506472,,,4.7,5.3,347.49389474915586,55.113730317998325,407.366,48.005,60.8946,True,347.49706028355786,55.11394363252905,1,1996725077535283200,347.49706026663284,55.11394371458394,0.0002974460883813669,60.89459838316985,0.03012782894074917,2021.2076416015625,407.36584254704917,48.00481691092904,15.60446548461914,0.9007663726806641,,,1.0342177152633667,False,False,True,,1.996725077535283e+18,100.94282498470353,5.6044610834839304e-08,True
G 68-34,primary,WDM,G 68-34,0.46,0.655,5.5,6.7,354.73200367894043,21.02267009495361,275.846,179.039,25.4015,True,354.73331709026655,21.023465818807665,1,2826254717479033344,354.7333170824856,21.02346582838847,4.3281382966696164e-05,25.401530455000312,0.027703698724508286,916.9003295898438,275.845840337343,179.03888862869746,12.907044410705566,2.789584159851074,0.0020000000949949026,3007.35986328125,1.4338939189910889,False,True,False,2.7875841597560793,2.826254713186397e+18,373.799898058323,6.514199331823923e-07,True
LP 463-28,companion,WDM,G 68-34,,,5.5,6.7,354.73465857326124,21.021751172871664,273.432,176.138,25.3666,True,354.73596048244633,21.022534003480366,1,2826254713186397184,354.7359604756,21.02253401338251,4.2426995001364284e-05,25.366648545801482,0.09956132620573044,254.78416442871094,273.4324726185702,176.13778332993863,17.6829833984375,1.0112171173095703,,,1.0447298288345337,False,False,True,,,,,False
GJ 1179 B,primary,WDM,GJ 1179 B,0.12,,5.4,103.0,207.01254302213042,23.57956765591278,-1485.656,125.01,84.3105,True,207.0053385438718,23.58012308985166,1,1251824057289839616,207.00533857595104,23.58012342188568,0.0011999993463251623,84.31052432709014,0.0288743544369936,2919.91015625,-1485.655682748447,125.00998018173836,15.338058471679688,1.268906593322754,,,1.013633131980896,False,False,True,,,,,False
GJ 1179 A,companion,WDM,GJ 1179 B,,,5.4,103.0,207.0558838254875,23.61352941190028,-1482.591,122.335,84.2246,True,207.0486923493305,23.61407295736733,1,1251824607045654016,207.04869237692137,23.614073287892467,0.001193365901605185,84.2246337028907,0.026624228805303574,3163.458251953125,-1482.591472449657,122.33482827718699,13.441506385803223,3.5297508239746094,,,1.209258794784546,False,False,True,,1.2518240572898396e+18,2233.6811817648145,4.875909763746826e-08,True
